unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/rhox_iee_lccp					
rhox_torinubar_east_buildings	buildings	rhox_torinubar_east	-2147483647	2147483647	
rhox_torinubar_west_buildings	buildings	rhox_torinubar_west	-2147483647	2147483647	
rhox_torinubar_east_convoy	wh3_dlc23_chd_convoy	rhox_torinubar_east	-2147483647	2147483647	
rhox_torinubar_west_convoy	wh3_dlc23_chd_convoy	rhox_torinubar_west	-2147483647	2147483647	
rhox_torinubar_east_upgrade	wh2_dlc15_resource_factor_unit_upgrade	rhox_torinubar_east	-2147483647	0	
rhox_torinubar_west_upgrade	wh2_dlc15_resource_factor_unit_upgrade	rhox_torinubar_west	-2147483647	0	
rhox_valbrand_slaves_spent_kho_sacrifices	gifts_of_chaos	rhox_valbrand_slaves_spent_kho	0	2147483647	
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	gifts_of_chaos_upkeep	rhox_valbrand_slaves_spent_kho	0	2147483647	
rhox_valbrand_slaves_spent_und_sacrifices	gifts_of_chaos	rhox_valbrand_slaves_spent_und	0	2147483647	
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	gifts_of_chaos_upkeep	rhox_valbrand_slaves_spent_und	0	2147483647	
rhox_volrik_book_spent_tze_sacrifices	gifts_of_chaos	rhox_volrik_book_spent_tze	0	2147483647	
rhox_volrik_book_spent_tze_sacrifices_upkeep	gifts_of_chaos_upkeep	rhox_volrik_book_spent_tze	0	2147483647	
rhox_volrik_book_spent_und_sacrifices	gifts_of_chaos	rhox_volrik_book_spent_und	0	2147483647	
rhox_volrik_book_spent_und_sacrifices_upkeep	gifts_of_chaos_upkeep	rhox_volrik_book_spent_und	0	2147483647	
rhox_burlok_artifact_part_1a_forging	forging_items	rhox_burlok_artifact_part_1a	0	2147483647	
rhox_burlok_artifact_part_1a_missions	missions	rhox_burlok_artifact_part_1a	0	2147483647	
rhox_burlok_artifact_part_1b_forging	forging_items	rhox_burlok_artifact_part_1b	0	2147483647	
rhox_burlok_artifact_part_1b_missions	missions	rhox_burlok_artifact_part_1b	0	2147483647	
rhox_burlok_artifact_part_2a_forging	forging_items	rhox_burlok_artifact_part_2a	0	2147483647	
rhox_burlok_artifact_part_2a_missions	missions	rhox_burlok_artifact_part_2a	0	2147483647	
rhox_burlok_artifact_part_2b_forging	forging_items	rhox_burlok_artifact_part_2b	0	2147483647	
rhox_burlok_artifact_part_2b_missions	missions	rhox_burlok_artifact_part_2b	0	2147483647	
rhox_burlok_artifact_part_3a_forging	forging_items	rhox_burlok_artifact_part_3a	0	2147483647	
rhox_burlok_artifact_part_3a_missions	missions	rhox_burlok_artifact_part_3a	0	2147483647	
rhox_burlok_artifact_part_3b_forging	forging_items	rhox_burlok_artifact_part_3b	0	2147483647	
rhox_burlok_artifact_part_3b_missions	missions	rhox_burlok_artifact_part_3b	0	2147483647	
rhox_burlok_artifact_part_4a_forging	forging_items	rhox_burlok_artifact_part_4a	0	2147483647	
rhox_burlok_artifact_part_4a_missions	missions	rhox_burlok_artifact_part_4a	0	2147483647	
rhox_burlok_artifact_part_4b_forging	forging_items	rhox_burlok_artifact_part_4b	0	2147483647	
rhox_burlok_artifact_part_4b_missions	missions	rhox_burlok_artifact_part_4b	0	2147483647	
rhox_burlok_artifact_part_5a_forging	forging_items	rhox_burlok_artifact_part_5a	0	2147483647	
rhox_burlok_artifact_part_5a_missions	missions	rhox_burlok_artifact_part_5a	0	2147483647	
rhox_burlok_artifact_part_5b_forging	forging_items	rhox_burlok_artifact_part_5b	0	2147483647	
rhox_burlok_artifact_part_5b_missions	missions	rhox_burlok_artifact_part_5b	0	2147483647	
rhox_burlok_artifact_part_6a_forging	forging_items	rhox_burlok_artifact_part_6a	0	2147483647	
rhox_burlok_artifact_part_6a_missions	missions	rhox_burlok_artifact_part_6a	0	2147483647	
rhox_burlok_artifact_part_6b_forging	forging_items	rhox_burlok_artifact_part_6b	0	2147483647	
rhox_burlok_artifact_part_6b_missions	missions	rhox_burlok_artifact_part_6b	0	2147483647	
rhox_burlok_artifact_part_7a_forging	forging_items	rhox_burlok_artifact_part_7a	0	2147483647	
rhox_burlok_artifact_part_7a_missions	missions	rhox_burlok_artifact_part_7a	0	2147483647	
rhox_burlok_artifact_part_7b_forging	forging_items	rhox_burlok_artifact_part_7b	0	2147483647	
rhox_burlok_artifact_part_7b_missions	missions	rhox_burlok_artifact_part_7b	0	2147483647	
rhox_burlok_artifact_part_8a_forging	forging_items	rhox_burlok_artifact_part_8a	0	2147483647	
rhox_burlok_artifact_part_8a_missions	missions	rhox_burlok_artifact_part_8a	0	2147483647	
rhox_burlok_artifact_part_8b_forging	forging_items	rhox_burlok_artifact_part_8b	0	2147483647	
rhox_burlok_artifact_part_8b_missions	missions	rhox_burlok_artifact_part_8b	0	2147483647	
rhox_engra_campaign_progress_other	other	rhox_engra_campaign_progress	0	2147483647	
rhox_engra_campaign_progress_souls	souls_gain	rhox_engra_campaign_progress	0	2147483647	
rhox_arbaal_resource_battles	battles	rhox_arbaal_resource	0	2147483647	
rhox_arbaal_resource_cursed	rhox_arbaal_wrath	rhox_arbaal_resource	-2147483647	0	
