chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_valbrand			
rhox_valbrand_NORSCA_beasts	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_chaos	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_creatures	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_garrison	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_loot	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_military	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_offerings	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_settlement_major	wh3_main_primary_core_generic_horde		false
rhox_valbrand_NORSCA_slaves	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_smith	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_stables	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_walls	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_worship	wh3_main_secondary_core_generic_horde		false
