chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_iee_lccp			
rhox_hrothyogg_mercenary_branch	wh3_main_foreign_slot_core_generic		false
rhox_torinubar_east_foreign	wh3_main_foreign_slot_core_generic		false
rhox_torinubar_west_foreign	wh3_main_foreign_slot_core_generic		false
rhox_valbrand_NORSCA_beasts	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_chaos	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_creatures	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_loot	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_military	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_offerings	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_settlement_major	wh3_main_primary_core_generic_horde		false
rhox_valbrand_NORSCA_slaves	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_smith	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_stables	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_walls	wh3_main_secondary_core_generic_horde		false
rhox_valbrand_NORSCA_worship	wh3_main_secondary_core_generic_horde		false
rhox_dolmance_slaanesh	wh3_main_secondary_core_generic_minor		false
rhox_thorgar_dae_advanced	wh3_main_secondary_core_generic_minor		false
