member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/rhox_iee_lccp_torinubar_diplomacy	
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_Positive	friendly
