key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade	use_revealing_text
#incidents_tables;7;db/incidents_tables/rhox_iee_lccp									
rhox_hrothyogg_mercenary_recruiter	false	messenger	false	Event		false		0.0000	false
rhox_hrothyogg_mercenary_branch_established	false	ogr/messenger	false	Event		false		0.0000	false
rhox_hrothyogg_mercenary_recieved	false	ogr/messenger	false	Event		false		0.0000	false
rhox_hrothyogg_toll_collected	false	ogr/messenger	false	Event		false		0.0000	false
rhox_hrothyogg_toll_gang	false	ogr/messenger	false	Event		false		0.0000	false
rhox_tokmar_captured_beast	false	def/Beasts_captured_001	false	Event		false		0.0000	false
rhox_arbaal_used_button_ritual	false	messenger	false	Event		false		0.0000	false
rhox_lccp_turn_two_incident_thorgar	false	messenger	false	Event		true		0.0000	false
rhox_lccp_turn_two_incident_engra	false	messenger	false	Event		true		0.0000	false
rhox_lccp_turn_two_incident_arbaal	false	messenger	false	Event		true		0.0000	false
rhox_lccp_turn_two_incident_duriath	false	messenger	false	Event		true		0.0000	false
wh2_dlc16_incident_wef_ritual_succeeded_the_far_place	false	wh2_dlc16_forest_healed	false	Event		false		0.0000	false
