member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_iee_lccp_climate		
rhox_torinubar_jungle_climate	ACTOR	cr_hef_gate_guards
rhox_dolmance_jungle	ACTOR	rhox_brt_reveller_of_domance
rhox_zach_jungle	ACTOR	rhox_vmp_the_everliving
rhox_zach_mountain	ACTOR	rhox_vmp_the_everliving
rhox_zach_wasteland	ACTOR	rhox_vmp_the_everliving
rhox_duriath_savannah	ACTOR	cr_def_corsairs_of_spite
rhox_karitamen_temperate_climate	ACTOR	cr_tmb_sons_of_ptra
rhox_burlok_jungle	ACTOR	cr_dwf_firebeards_excavators
rhox_slaurith_jungle	ACTOR	cr_kho_servants_of_the_blood_nagas
rhox_hroth_savannah	ACTOR	cr_ogr_deathtoll
rhox_arbaal_jungle	ACTOR	rhox_kho_destroyers_of_khorne
rhox_arbaal_savannah	ACTOR	rhox_kho_destroyers_of_khorne
