agent_subtype	effect_bundle
#faction_starting_general_effects_tables;0;db/faction_starting_general_effects_tables/rhox_iee_lccp	
hef_calith_torinubar	rhox_torinubar_faction_trait
hkrul_sceolan	rhox_sceolan_faction_trait
hkrul_valbrand	rhox_valbrand_faction_trait
hkrul_volrik	rhox_volrik_faction_trait
hkrul_zach	rhox_zach_faction_trait
hkrul_orghotts	rhox_orghotts_faction_trait
hkrul_hrothyogg	rhox_hrothyogg_faction_trait
hkrul_slaurith	rhox_lord_slaurith_faction_trait
hkrul_burlok	rhox_burlok_faction_trait
hkrul_dolmance	rhox_dolmance_faction_trait
hkrul_thorgar	rhox_thorgar_faction_trait
