key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/rhox_iee_lccp																																																											
rhox_hrothyogg_recruiter	10	wh2_main_body_30	2100	inf_melee	44	com	rhox_hrothyogg_recruiter	hu13_wh3_ogre_handblade_and_ironfist	wh3_main_ogr_monster_ogre_butcher_blood	40	40	60	5500		0	wh3_main_ogr_hammer_slaughtermaster		1	none	rhox_hrothyogg_recruiter	wh_main_monstrous_trolls	trained			true	40.0000	1500.0000	wh3_main_ogr_cha_butcher_great_maw_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_rhobb	10	wh2_main_chainmail_50	2100	inf_melee	45	com	hkrul_rhobb	hu3_pr7_gotrex_axe	hkrul_rhobb	67	45	75	4170		0	hkrul_rhobb		1	none	hkrul_rhobb	wh_main_hero	trained			true	40.0000	1500.0000	wh_main_emp_cha_captain_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_thulgrim	10	wh2_main_chainmail_120	2100	inf_melee	35	com	hkrul_thulgrim	hu3_dwarf_axe_and_shield_thane	hkrul_thulgrim	53	55	75	4255		0	wh_main_dwf_axe_hero		1	none	hkrul_thulgrim	wh_main_hero	trained			true	40.0000	1500.0000	wh_main_emp_cha_captain_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_shaz	10	wh2_main_chainmail_120	2100	inf_melee	30	com	hkrul_shaz	hu3_dwarf_axe_and_shield_thane	wh_main_dwf_cha_dwarf_hero_blood_dismembers	55	55	75	4453		0	wh_main_dwf_axe_hero		1	wh_missile_block_55_metal	hkrul_shaz	wh_main_hero	trained			true	40.0000	1500.0000	wh_main_emp_cha_captain_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_calith_gatekeepers	10	wh2_main_chainmail_50	2100	inf_melee	20	inf_mel	hef_calith_gatekeepers	hu1d_hef_2handed_sword	wh2_main_hef_infantry_fast_blood_dismembers	43	30	80	76		0	wh_gatekeepers_dao		6	none	hef_calith_gatekeepers	wh2_main_inf_2handed_ordered	trained			true	40.0000	1500.0000	wh2_main_hef_inf_gate_guard	60	80	10	vo_sel_hef_Swordmaster_of_Hoeth	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
rhox_lccp_vmp_giant	10	wh2_main_body_50	2100	inf_melee	40	inf_mel	rhox_lccp_vmp_giant	hu4_giant_club	wh_main_monster_giant_blood	78	38	110	12612		0	rhox_lccp_vmp_giant		1	none	rhox_lccp_vmp_giant	wh_main_monster	trained			true	40.0000	1500.0000	rhox_lccp_vmp_giant_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false	false
rhox_lccp_sceolan_wef_spellweaver_ice	10	wh2_main_body_15	2100	inf_melee	20	com	wh_dlc05_unit_long_text_wef_spellsinger	hu1b_dlc16_elf_spellweaver_sword	wh2_dlc16_wef_spellweaver_blood_dismembers	33	34	75	3712		0	wh_dlc05_wef_sword_wizard		1	none	wh2_dlc16_unit_short_text_wef_cha_spellweaver_shadows	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc16_wef_cha_spellweaver_shadows_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
rhox_lccp_sceolan_wef_spellweaver_ice_1	10	wh2_main_body_15	2100	cavalry	34	com	wh_dlc05_unit_long_text_wef_spellsinger	hu1b_dlc16_elf_spellweaver_hr1_warhorse_sword	wh2_dlc16_wef_spellweaver_blood	33	34	75	4132	wh_dlc05_wef_mnt_elven_steed	1	wh_dlc05_wef_sword_wizard		1	none	wh2_dlc16_unit_short_text_wef_cha_spellweaver_shadows	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	wh2_dlc16_wef_cha_spellweaver_shadows_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef_large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
rhox_lccp_sceolan_wef_spellweaver_ice_2	10	wh2_main_body_15	2100	cavalry	50	com	wh_dlc05_unit_long_text_wef_spellsinger	hu1b_dlc16_elf_spellweaver_hr1_warhorse_sword	wh2_dlc16_wef_spellweaver_blood	40	34	75	4688	wh_dlc05_wef_mnt_unicorn	1	wh_dlc05_wef_sword_wizard		1	none	wh2_dlc16_unit_short_text_wef_cha_spellweaver_shadows	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	wh2_dlc16_wef_cha_spellweaver_shadows_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef_large	0	0	0	40	0	0	15	0	mage_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
