key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/rhox_iee_lccp_leaders																																																						
hkrul_sceolan	15	wh2_main_plate_60	2100	inf_ranged	30	com	hkrul_sceolan	hu1d_elf_spear_and_shield_bow	wh2_dlc10_hef_infantry_hero_alith_blood	65	60	75	4452		0	hkrul_sceolan	wh2_dlc10_hef_alith_anar_arrow	1	wh_missile_block_55_metal	hkrul_sceolan	wh_main_infantry	well_trained			true	40.0000	1500.0000	hkrul_sceolan_attr	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef	0	30	0	0	0	0	15	0	ranged_highvalue	true	true	false	false	domination_characters	domination_characters	domination_characters		
hkrul_sceolan_dragon	15	wh2_main_body_60	2100	war_beast	60	com	hkrul_sceolan	hu1d_elf_dr1_dragon_wb_sword_and_bow	wh2_dlc10_hef_infantry_hero_alith_blood	48	42	75	7108	wh_dlc05_wef_mnt_forest_dragon	1	wh_dlc05_wef_dragon	wh2_dlc10_hef_alith_anar_arrow	1	none	hkrul_sceolan	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_sceolan_dragon_attr	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef_large	0	30	0	0	0	20	25	0	flying_hybrid_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture		
hkrul_valbrand	10	wh2_main_plate_30	2100	inf_melee	65	com	hkrul_valbrand	hu1c_nor_phy_valbrand_01	wh_main_nor_phy_valbrand_infantry_standard_large_fast_hero_blood_dismembers	67	36	70	4725		0	hkrul_valbrand		1	none	hkrul_valbrand	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_valbrand_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	25	0	0	0	15	0	melee_highvalue	false	true	false	false	domination_characters	domination_characters	domination_characters		
hkrul_volrik	10	wh2_main_plate_50	2100	inf_melee	50	com	hkrul_volrik	volrik	wh_main_nor_infantry_standard_large_fast_hero_blood_dismembers	64	41	75	4660		0	hkrul_volrik		1	none	hkrul_volrik	wh_main_hero	trained			true	40.0000	1500.0000	wh_main_nor_cha_marauder_chieftan_0	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	15	0	0	15	0	ranged_highvalue	true	true	false	false	domination_characters	domination_characters	domination_characters		
hkrul_volrik_chariot	10	wh2_main_heavy_metal_110	2100	war_machine	90	com	hkrul_volrik	hu1c_chaos_wm_chariot_axe_and_shield	wh_main_infantry_standard_hero_blood	57	20	80	4948	wh3_dlc20_chs_mnt_chaos_steed_mtze_chariots	2	hkrul_volrik		1	none	wh_main_unit_short_text_chs_marauder_chieftain	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh3_dlc20_chs_chariot_mtze_large_draught	true	40.0000	1500.0000	wh_main_nor_cha_marauder_chieftan_2	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters		
hkrul_zach	10	wh2_main_leather_25	2100	inf_melee	15	com	hkrul_zach	hu1_empire_staff_and_sword	wh2_dlc16_infantry_standard_hero_blood_low_kb_resist	45	45	75	4012		0	hkrul_zach		1	none	hkrul_zach	wh_main_infantry	trained			true	40.0000	1500.0000	hkrul_zach_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	domination_characters	domination_characters	domination_characters		
hkrul_zach_dragon	10	wh2_main_body_70	2100	war_beast	40	com	hkrul_zach	hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	wh_main_infantry_standard_fast_hero_blood_dismembers	44	50	80	7428	wh_main_vmp_mnt_dragon_zombie	1	wh_main_vmp_hero_zombie_dragon		1	none	wh_main_unit_short_text_vmp_vampire_lord	wh_main_monster	trained			true	40.0000	1500.0000	wh_main_vmp_cha_vampire_lord_3	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	flying_melee_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture		
hef_calith_torinubar	10	wh2_main_chainmail_70	2100	inf_melee	15	com	wh2_main_unit_long_text_hef_cha_teclis_0	hef_torinubar_staff_magic	wh2_main_hef_infantry_hero_tyrion_blood	36	40	85	3680		0	wh_torinubar_magic_wave		1	none	hef_calith_torinubar	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_teclis_0	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	domination_characters	domination_characters	domination_characters		
hef_calith_torinubar_eagle	10	wh2_main_body_30	2100	war_beast	62	com	wh2_main_unit_long_text_hef_cha_teclis_0	hef_torinubar_staff_magic	wh2_main_hef_infantry_hero_tyrion_blood	44	30	75	5064	wh2_main_hef_mnt_great_eagle	1	wh2_main_hef_hero_great_eagle		1	none	hef_calith_torinubar	wh_main_monster	trained			true	40.0000	1500.0000	wh2_dlc15_hef_cha_archmage_death_3	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_hybrid_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture		
