id	culture	faction	remove	set	subculture
#faction_set_items_tables;1;db/faction_set_items_tables/rhox_iee_lccp					
13867982		rhox_nor_firebrand_slavers	false	rhox_valbrand_faction	
13867983		rhox_nor_firebrand_slavers	false	FavouredCorruptionKhorne	
13867984		rhox_nor_firebrand_slavers	true	FavouredCorruptionUndivided	
13867985		rhox_nor_ravenblessed	false	FavouredCorruptionTzeentch	
13867986		rhox_nor_ravenblessed	true	FavouredCorruptionUndivided	
13867987		rhox_nor_ravenblessed	false	rhox_volrik_faction	
13867988		rhox_brt_reveller_of_domance	false	FavouredCorruptionSlaanesh	
13867989		rhox_brt_reveller_of_domance	true	FavouredCorruptionNone	
13867990		rhox_brt_reveller_of_domance	false	rhox_dolmance_faction	
