building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/rhox_lccp		
rhox_hrothyogg_mercenary_branch	wh3_dlc23_chd_factory	false
rhox_hrothyogg_mercenary_branch	wh3_dlc23_chd_outpost	false
rhox_hrothyogg_mercenary_branch	wh3_dlc23_chd_tower	false
rhox_hrothyogg_mercenary_branch	wh3_main_dae_khorne	false
rhox_hrothyogg_mercenary_branch	wh3_main_dae_nurgle	false
rhox_hrothyogg_mercenary_branch	wh3_main_dae_slaanesh	false
rhox_hrothyogg_mercenary_branch	wh3_main_dae_tzeentch	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_dechala_thrall_camp	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_dechala_war_pit	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_altars_kho	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_altars_nur	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_altars_sla	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_altars_tze	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_altars_und	false
rhox_hrothyogg_mercenary_branch	wh3_dlc27_norsca_core_settlement	false
