choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/rhox_lccp_torinubar		
FIRST	rhox_torinubar_dilemma_cth_caravan_1A	
SECOND	rhox_torinubar_dilemma_cth_caravan_1A	
FIRST	rhox_torinubar_dilemma_cth_caravan_1B	
SECOND	rhox_torinubar_dilemma_cth_caravan_1B	
FIRST	rhox_torinubar_dilemma_cth_caravan_2A	
SECOND	rhox_torinubar_dilemma_cth_caravan_2A	
FIRST	rhox_torinubar_dilemma_cth_caravan_2B	
SECOND	rhox_torinubar_dilemma_cth_caravan_2B	
FIRST	rhox_torinubar_dilemma_cth_caravan_3A	
SECOND	rhox_torinubar_dilemma_cth_caravan_3A	
FIRST	rhox_torinubar_dilemma_cth_caravan_3B	
SECOND	rhox_torinubar_dilemma_cth_caravan_3B	
FIRST	rhox_torinubar_dilemma_cth_caravan_4A	
SECOND	rhox_torinubar_dilemma_cth_caravan_4A	
FIRST	rhox_torinubar_dilemma_cth_caravan_4B	
SECOND	rhox_torinubar_dilemma_cth_caravan_4B	
FIRST	rhox_torinubar_dilemma_cth_caravan_battle_1A	
SECOND	rhox_torinubar_dilemma_cth_caravan_battle_1A	
FIRST	rhox_torinubar_dilemma_cth_caravan_battle_1B	
SECOND	rhox_torinubar_dilemma_cth_caravan_battle_1B	
FIRST	rhox_torinubar_dilemma_cth_caravan_battle_2A	
SECOND	rhox_torinubar_dilemma_cth_caravan_battle_2A	
FIRST	rhox_torinubar_dilemma_cth_caravan_battle_2B	
SECOND	rhox_torinubar_dilemma_cth_caravan_battle_2B	
FIRST	rhox_torinubar_dilemma_cth_caravan_battle_3	
SECOND	rhox_torinubar_dilemma_cth_caravan_battle_3	
