id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/rhox_lccp_torinubar_diplomacy		
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards	diplomacy_FactionGroup_HE_Prince2	9.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_Negative	25.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBeastmen	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBeastmen	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBeastmen_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBeastmen_&_Negative	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBeastmen_&_Positive	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBeastmen_&_Positive	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBretonnia	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBretonnia	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBretonnia_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBretonnia_&_Negative	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionBretonnia_&_Positive	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionBretonnia_&_Positive	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionChaos	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionChaos	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionChaos_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionChaos_&_Negative	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionChaos_&_Positive	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionChaos_&_Positive	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDarkElves	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDarkElves	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDarkElves_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDarkElves_&_Negative	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDarkElves_&_Positive	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDarkElves_&_Positive	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDwarf	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDwarf	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDwarf_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDwarf_&_Negative	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionDwarf_&_Positive	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionDwarf_&_Positive	26.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionEmpire	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionEmpire	10.0000
diplomacy_FactionGroup_HE_Princess_Faction_GateGuards_&_OtherFactionEmpire_&_Negative	diplomacy_FactionGroup_HE_Prince2_&_OtherFactionEmpire_&_Negative	26.0000
