campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/rhox_iee_lccp		
rhox_volrik_high_wom	rhox_volrik_wind_of_magic_high	ABSOLUTE_VALUE
rhox_arbaal_resource_effects_1	rhox_arbaal_resource_effects_1	ABSOLUTE_VALUE
rhox_arbaal_resource_effects_2	rhox_arbaal_resource_effects_2	ABSOLUTE_VALUE
rhox_arbaal_resource_effects_3	rhox_arbaal_resource_effects_3	ABSOLUTE_VALUE
rhox_arbaal_resource_effects_4	rhox_arbaal_resource_effects_4	ABSOLUTE_VALUE
rhox_valbrand_slave_effect_1	rhox_valbrand_slave_effect_1	ABSOLUTE_VALUE
rhox_valbrand_slave_effect_2	rhox_valbrand_slave_effect_2	ABSOLUTE_VALUE
rhox_valbrand_slave_effect_3	rhox_valbrand_slave_effect_3	ABSOLUTE_VALUE
rhox_valbrand_slave_effect_4	rhox_valbrand_slave_effect_4	ABSOLUTE_VALUE
rhox_valbrand_slave_effect_5	rhox_valbrand_slave_effect_5	ABSOLUTE_VALUE
