agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_dolmance			
champion	rhox_brt_reveller_of_domance	wh2_dlc14_brt_henri_le_massif	false
champion	rhox_brt_reveller_of_domance	wh_dlc07_brt_green_knight	false
champion	rhox_brt_reveller_of_domance	wh_main_brt_paladin	false
colonel	rhox_brt_reveller_of_domance	wh_main_brt_lord	false
general	rhox_brt_reveller_of_domance	wh2_dlc14_brt_repanse	false
general	rhox_brt_reveller_of_domance	wh_dlc07_brt_fay_enchantress	false
general	rhox_brt_reveller_of_domance	wh_main_brt_lord	false
wizard	rhox_brt_reveller_of_domance	wh3_dlc20_chs_sorcerer_slaanesh_msla	false
wizard	rhox_brt_reveller_of_domance	wh3_dlc20_chs_sorcerer_shadows_msla	false
