agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_arbaal			
champion	rhox_kho_destroyers_of_khorne	wh3_dlc20_chs_exalted_hero_mkho	false
colonel	rhox_kho_destroyers_of_khorne	wh3_main_kho_herald_of_khorne	false
dignitary	rhox_kho_destroyers_of_khorne	wh3_main_kho_bloodreaper	false
general	rhox_kho_destroyers_of_khorne	wh3_dlc20_chs_lord_mkho	false
general	rhox_kho_destroyers_of_khorne	wh3_main_kho_exalted_bloodthirster	false
general	rhox_kho_destroyers_of_khorne	wh3_main_kho_herald_of_khorne	false
general	rhox_kho_destroyers_of_khorne	wh3_main_kho_herald_of_khorne_khorne_spawned_army	false
general	rhox_kho_destroyers_of_khorne	wh3_main_kho_skarbrand	false
runesmith	rhox_kho_destroyers_of_khorne	wh3_main_kho_cultist	false
