agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/rhox_beorg		
champion	mixer_nur_rotbloods	wh3_main_ie_nor_killgore_slaymaim
champion	mixer_nur_rotbloods	wh_dlc08_nor_skin_wolf_werekin
dignitary	mixer_nur_rotbloods	wh_dlc08_nor_fimir_balefiend_fire
dignitary	mixer_nur_rotbloods	wh_dlc08_nor_fimir_balefiend_shadow
general	mixer_nur_rotbloods	wh3_main_ie_nor_burplesmirk_spewpit
general	mixer_nur_rotbloods	wh_dlc08_nor_arzik
general	mixer_nur_rotbloods	wh_dlc08_nor_wulfrik
wizard	mixer_nur_rotbloods	wh_dlc08_nor_kihar
wizard	mixer_nur_rotbloods	wh_dlc08_nor_shaman_sorcerer_death
wizard	mixer_nur_rotbloods	wh_dlc08_nor_shaman_sorcerer_fire
wizard	mixer_nur_rotbloods	wh_dlc08_nor_shaman_sorcerer_metal
minister	mixer_nur_rotbloods	wh_main_nor_marauder_chieftain
colonel	mixer_nur_rotbloods	wh_main_nor_marauder_chieftain
general	mixer_nur_rotbloods	wh_dlc08_nor_throgg
general	mixer_nur_rotbloods	wh_main_nor_marauder_chieftain
champion	mixer_nur_rotbloods	hkrul_oerl
champion	wh_main_nor_aesling	hkrul_oerl
champion	wh_dlc08_nor_norsca	hkrul_oerl
champion	wh_dlc08_nor_wintertooth	hkrul_oerl
champion	wh_main_nor_skaeling	hkrul_oerl
champion	wh_main_nor_varg	hkrul_oerl
champion	wh_main_nor_sarl	hkrul_oerl
champion	wh_main_nor_graeling	hkrul_oerl
champion	wh_main_nor_bjornling	hkrul_oerl
champion	wh_main_nor_baersonling	hkrul_oerl
champion	wh2_main_nor_skeggi	hkrul_oerl
champion	wh2_main_nor_mung	hkrul_oerl
champion	wh2_main_nor_aghol	hkrul_oerl
champion	wh3_dlc20_nor_yusak	hkrul_oerl
champion	wh3_dlc20_nor_kuj	hkrul_oerl
champion	wh3_dlc20_nor_kul	hkrul_oerl
champion	wh3_dlc20_nor_dolgan	hkrul_oerl
champion	wh3_dlc20_nor_tong	hkrul_oerl
