agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_volrik			
general	rhox_nor_ravenblessed	rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	false
champion	rhox_nor_ravenblessed	wh3_main_ie_nor_killgore_slaymaim	false
champion	rhox_nor_ravenblessed	wh_dlc08_nor_skin_wolf_werekin	false
colonel	rhox_nor_ravenblessed	rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	false
dignitary	rhox_nor_ravenblessed	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	rhox_nor_ravenblessed	wh_dlc08_nor_fimir_balefiend_shadow	false
general	rhox_nor_ravenblessed	wh3_main_ie_nor_burplesmirk_spewpit	false
general	rhox_nor_ravenblessed	wh_dlc08_nor_arzik	false
general	rhox_nor_ravenblessed	wh_dlc08_nor_wulfrik	false
minister	rhox_nor_ravenblessed	rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	false
wizard	rhox_nor_ravenblessed	wh_dlc08_nor_kihar	false
wizard	rhox_nor_ravenblessed	wh_dlc08_nor_shaman_sorcerer_death	false
wizard	rhox_nor_ravenblessed	wh_dlc08_nor_shaman_sorcerer_fire	false
wizard	rhox_nor_ravenblessed	wh_dlc08_nor_shaman_sorcerer_metal	false
champion	rhox_nor_ravenblessed	wh3_dlc24_tze_aekold_helbrass	false
wizard	rhox_nor_ravenblessed	wh3_dlc24_tze_blue_scribes	false
