agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_engra			
champion	rhox_chs_the_deathswords	wh_main_chs_exalted_hero	false
colonel	rhox_chs_the_deathswords	wh_main_chs_lord	false
general	rhox_chs_the_deathswords	wh_dlc01_chs_kholek_suneater	false
general	rhox_chs_the_deathswords	wh_dlc01_chs_sorcerer_lord_death	false
general	rhox_chs_the_deathswords	wh_dlc01_chs_sorcerer_lord_fire	false
general	rhox_chs_the_deathswords	wh_dlc01_chs_sorcerer_lord_metal	false
general	rhox_chs_the_deathswords	wh_dlc07_chs_sorcerer_lord_shadow	false
general	rhox_chs_the_deathswords	wh_main_chs_lord	false
general	rhox_chs_the_deathswords	wh_main_chs_lord_of_change	false
minister	rhox_chs_the_deathswords	wh_main_chs_lord	false
wizard	rhox_chs_the_deathswords	wh_dlc07_chs_chaos_sorcerer_shadow	false
wizard	rhox_chs_the_deathswords	wh_main_chs_chaos_sorcerer_death	false
wizard	rhox_chs_the_deathswords	wh_main_chs_chaos_sorcerer_fire	false
wizard	rhox_chs_the_deathswords	wh_main_chs_chaos_sorcerer_metal	false
champion	rhox_chs_the_deathswords	wh3_dlc24_tze_aekold_helbrass	false
wizard	rhox_chs_the_deathswords	wh3_dlc24_tze_blue_scribes	false
