agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/hkrul_oerl		
champion	wh_main_nor_aesling	hkrul_oerl
champion	wh_dlc08_nor_norsca	hkrul_oerl
champion	wh_dlc08_nor_wintertooth	hkrul_oerl
champion	wh_main_nor_skaeling	hkrul_oerl
champion	wh_main_nor_varg	hkrul_oerl
champion	wh_main_nor_sarl	hkrul_oerl
champion	wh_main_nor_graeling	hkrul_oerl
champion	wh_main_nor_bjornling	hkrul_oerl
champion	wh_main_nor_baersonling	hkrul_oerl
champion	wh2_main_nor_skeggi	hkrul_oerl
champion	wh2_main_nor_mung	hkrul_oerl
champion	wh2_main_nor_aghol	hkrul_oerl
champion	wh3_dlc20_nor_yusak	hkrul_oerl
champion	wh3_dlc20_nor_kuj	hkrul_oerl
champion	wh3_dlc20_nor_kul	hkrul_oerl
champion	wh3_dlc20_nor_dolgan	hkrul_oerl
champion	wh3_dlc20_nor_tong	hkrul_oerl
