agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_valbrand			
general	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde	false
champion	rhox_nor_firebrand_slavers	wh_dlc08_nor_skin_wolf_werekin	false
colonel	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde	false
dignitary	rhox_nor_firebrand_slavers	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	rhox_nor_firebrand_slavers	wh_dlc08_nor_fimir_balefiend_shadow	false
general	rhox_nor_firebrand_slavers	wh_dlc08_nor_arzik	false
general	rhox_nor_firebrand_slavers	wh_dlc08_nor_throgg	false
minister	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde	false
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_kihar	false
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_death	false
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_fire	false
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_metal	false
champion	rhox_nor_firebrand_slavers	wh3_dlc27_nor_beorg_bearstruck	false
runesmith	rhox_nor_firebrand_slavers	wh3_dlc27_nor_fimir_noble	false
