agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/rhox_iee_lccp_valbrand		
general	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde
champion	rhox_nor_firebrand_slavers	wh_dlc08_nor_skin_wolf_werekin
colonel	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde
dignitary	rhox_nor_firebrand_slavers	wh_dlc08_nor_fimir_balefiend_fire
dignitary	rhox_nor_firebrand_slavers	wh_dlc08_nor_fimir_balefiend_shadow
general	rhox_nor_firebrand_slavers	wh_dlc08_nor_arzik
general	rhox_nor_firebrand_slavers	wh_dlc08_nor_throgg
minister	rhox_nor_firebrand_slavers	rhox_valbrand_nor_marauder_chieftain_horde
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_kihar
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_death
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_fire
wizard	rhox_nor_firebrand_slavers	wh_dlc08_nor_shaman_sorcerer_metal
