decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
#cai_decision_policy_junctions_tables;0;db/cai_decision_policy_junctions_tables/rhox_valbrand					
rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_1_economy_building	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_3_army_elites	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_1_army_xp	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_3_characters_marking	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_1_economy_building	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_3_army_elites	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_1_army_xp	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_3_characters_marking	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_def_slaves_min1000	true	-100.0000
