decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
#cai_decision_policy_junctions_tables;0;db/cai_decision_policy_junctions_tables/rhox_volrik					
rhox_volrik_faction_initiative_chs_undivided_1_army_marauders	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_1_economy_building	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_2_xp_sharing	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_3_army_elites	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_army_winds	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_economy_technology	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers	rhox_lccp_norsca_additional_initiatives	always_true		false	20.0000
rhox_volrik_faction_initiative_chs_undivided_1_army_marauders	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_1_economy_building	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_2_army_upgrades	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_2_xp_sharing	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_3_army_elites	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_army_winds	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_economy_technology	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers	rhox_lccp_norsca_additional_initiatives	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
