id	choice_key	dilemma_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/rhox_sceolan					
1580304324	FIRST	rhox_sceolan_high_elf_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_wef_incursion_high_elves_spared];DURATION[15]	default
1580304325	SECOND	rhox_sceolan_high_elf_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_tree_spirits_happy];DURATION[5]	default
1580304326	FIRST	rhox_sceolan_high_elf_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_tree_spirits_unhappy];DURATION[5]	default
1580304327	SECOND	rhox_sceolan_high_elf_invaders	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight]	default
1580304328	THIRD	rhox_sceolan_high_elf_invaders	TEXT_DISPLAY	LOOKUP[dummy_marker_will_persist]	default
1580304329	SECOND	rhox_sceolan_high_elf_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_wef_incursion_high_elves_punished];DURATION[5]	default
1580304330	FIRST	rhox_sceolan_high_elf_invaders	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[wef_worldroots_the_far_place];FACTOR[wef_worldroots_the_far_place_completed_encounters];AMOUNT[10];CONTEXT[absolute]	default
1580304331	SECOND	rhox_sceolan_high_elf_invaders	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[wef_worldroots_the_far_place];FACTOR[wef_worldroots_the_far_place_completed_encounters];AMOUNT[10];CONTEXT[absolute]	default
1580304332	FIRST	rhox_sceolan_cathay_invaders	EFFECT_BUNDLE	KEY[rhox_sceolan_cathay_spared];DURATION[15]	default
1580304333	SECOND	rhox_sceolan_cathay_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_tree_spirits_happy];DURATION[5]	default
1580304334	FIRST	rhox_sceolan_cathay_invaders	EFFECT_BUNDLE	KEY[wh2_dlc16_tree_spirits_unhappy];DURATION[5]	default
1580304336	THIRD	rhox_sceolan_cathay_invaders	TEXT_DISPLAY	LOOKUP[dummy_marker_will_persist]	default
1580304337	SECOND	rhox_sceolan_cathay_invaders	EFFECT_BUNDLE	KEY[rhox_sceolan_cathay_punished];DURATION[5]	default
1580304338	FIRST	rhox_sceolan_cathay_invaders	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[wef_worldroots_the_far_place];FACTOR[wef_worldroots_the_far_place_completed_encounters];AMOUNT[10];CONTEXT[absolute]	default
1580304339	SECOND	rhox_sceolan_cathay_invaders	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[wef_worldroots_the_far_place];FACTOR[wef_worldroots_the_far_place_completed_encounters];AMOUNT[10];CONTEXT[absolute]	default
