unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/rhox_lccp_torinubar		
wh2_dlc10_hef_cav_the_fireborn_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	rhox_torinubar_purchase_east	true
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	rhox_torinubar_purchase_east	true
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc10_hef_inf_shadow_walkers_0	rhox_torinubar_purchase_east	false
wh2_dlc10_hef_inf_shadow_walkers_0	rhox_torinubar_purchase_west	false
wh2_dlc10_hef_inf_shadow_warriors_0	rhox_torinubar_purchase_east	true
wh2_dlc10_hef_inf_sisters_of_avelorn_0	rhox_torinubar_purchase_east	true
wh2_dlc10_hef_inf_the_grey_ror_0	rhox_torinubar_purchase_east	true
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc10_hef_inf_the_silverpelts_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc10_hef_inf_the_storm_riders_ror_0	rhox_torinubar_purchase_east	false
wh2_dlc10_hef_inf_the_storm_riders_ror_0	rhox_torinubar_purchase_west	false
wh2_dlc15_hef_inf_archers_ror_0	rhox_torinubar_purchase_east	true
wh2_dlc15_hef_inf_rangers_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_inf_silverin_guard_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_mon_arcane_phoenix_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_mon_arcane_phoenix_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_mon_war_lions_of_chrace_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_mon_war_lions_of_chrace_ror_0	rhox_torinubar_purchase_west	true
wh2_dlc15_hef_veh_lion_chariot_of_chrace_0	rhox_torinubar_purchase_west	true
wh2_main_hef_art_eagle_claw_bolt_thrower	rhox_torinubar_purchase_east	true
wh2_main_hef_cav_dragon_princes	rhox_torinubar_purchase_west	true
wh2_main_hef_cav_ellyrian_reavers_0	rhox_torinubar_purchase_west	true
wh2_main_hef_cav_ellyrian_reavers_1	rhox_torinubar_purchase_east	true
wh2_main_hef_cav_ithilmar_chariot	rhox_torinubar_purchase_west	true
wh2_main_hef_cav_silver_helms_0	rhox_torinubar_purchase_west	true
wh2_main_hef_cav_silver_helms_1	rhox_torinubar_purchase_west	true
wh2_main_hef_cav_tiranoc_chariot	rhox_torinubar_purchase_east	true
wh2_main_hef_inf_archers_0	rhox_torinubar_purchase_east	true
wh2_main_hef_inf_archers_1	rhox_torinubar_purchase_east	true
wh2_main_hef_inf_lothern_sea_guard_0	rhox_torinubar_purchase_west	false
wh2_main_hef_inf_lothern_sea_guard_0	rhox_torinubar_purchase_east	false
wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_purchase_west	false
wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_purchase_east	false
wh2_main_hef_inf_phoenix_guard	rhox_torinubar_purchase_west	true
wh2_main_hef_inf_spearmen_0	rhox_torinubar_purchase_west	true
wh2_main_hef_inf_swordmasters_of_hoeth_0	rhox_torinubar_purchase_west	true
wh2_main_hef_inf_white_lions_of_chrace_0	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_great_eagle	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_moon_dragon	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_phoenix_flamespyre	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_phoenix_frostheart	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_star_dragon	rhox_torinubar_purchase_west	true
wh2_main_hef_mon_sun_dragon	rhox_torinubar_purchase_west	true
hef_calith_gatekeepers	rhox_torinubar_purchase_west	true
