phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/rhox_iee_lccp			
rhox_zach_token	stat_resistance_physical	10.0000	add
rhox_zach_dragon_blood	scalar_spell_mastery	1.2000	mult
rhox_dolmance_harmony_in_excess	stat_melee_attack	5.0000	add
rhox_dolmance_harmony_in_excess	stat_morale	8.0000	add
rhox_dolmance_harmony_in_excess	scalar_speed	1.2500	mult
rhox_slaurith_bloodrage	stat_melee_damage_ap	1.5000	mult
rhox_slaurith_bloodrage	stat_melee_damage_base	1.5000	mult
rhox_slaurith_bloodrage	stat_melee_defence	-5.0000	add
hkrul_burlok_warm	scalar_speed	1.3000	mult
hkrul_burlok_warm	scalar_entity_acceleration_modifier	1.2000	mult
hkrul_gargul_aim	scalar_missile_range	1.2500	mult
hkrul_gargul_aim	scalar_missile_damage_ap	1.2500	mult
hkrul_skargel_mine	stat_melee_damage_ap	1.3000	mult
hkrul_skargel_mine	stat_bonus_vs_infantry	15.0000	add
hkrul_wundal_frog	stat_resistance_all	1.2000	mult
