effect	effect_list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/rhox_iee_lccp			
wh_main_effect_force_stat_weapon_strength	rhox_valbrand_win_streak_0	force_to_force_own	0.0000
wh3_dlc20_effect_xp_gain_all_units	rhox_valbrand_win_streak_0	force_to_force_own	0.0000
wh3_main_effect_corruption_khorne_characters	rhox_valbrand_win_streak_0	force_to_province_any	0.0000
wh_main_effect_force_stat_weapon_strength	rhox_valbrand_win_streak_1	force_to_force_own	2.0000
wh3_dlc20_effect_xp_gain_all_units	rhox_valbrand_win_streak_1	force_to_force_own	5.0000
wh3_main_effect_corruption_khorne_characters	rhox_valbrand_win_streak_1	force_to_province_any	2.0000
wh_main_effect_force_stat_weapon_strength	rhox_valbrand_win_streak_2	force_to_force_own	5.0000
wh3_dlc20_effect_xp_gain_all_units	rhox_valbrand_win_streak_2	force_to_force_own	10.0000
wh3_main_effect_corruption_khorne_characters	rhox_valbrand_win_streak_2	force_to_province_any	4.0000
wh_main_effect_force_stat_weapon_strength	rhox_valbrand_win_streak_3	force_to_force_own	10.0000
wh3_dlc20_effect_xp_gain_all_units	rhox_valbrand_win_streak_3	force_to_force_own	15.0000
wh3_main_effect_corruption_khorne_characters	rhox_valbrand_win_streak_3	force_to_province_any	6.0000
wh_main_effect_force_army_campaign_enable_replenishment_in_foreign_territory	rhox_valbrand_win_streak_3	force_to_force_own	1.0000
wh_main_effect_force_stat_weapon_strength	rhox_valbrand_win_streak_negative	force_to_force_own	0.0000
wh3_dlc20_effect_xp_gain_all_units	rhox_valbrand_win_streak_negative	force_to_force_own	-10.0000
