faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/rhox_iee_lccp				
	rhox_hrothyogg_recruiter	rhox_ogr_diplomat	rhox_ogr_diplomat	hkrul_contractor
	hkrul_rhobb	hkrul_rhobb	hkrul_rhobb	a_character_placeholder
	hkrul_thulgrim	hkrul_thulgrim	hkrul_thulgrim	a_character_placeholder
	hkrul_shaz	hkrul_shaz	hkrul_shaz	hkrul_shaz
	hef_calith_gatekeepers	hef_calith_gatekeepers	hef_calith_gatekeepers	hef_calith_gatekeepers
	hkrul_oerl	hkrul_oerl	hkrul_oerl	hkrul_oerl
	hkrul_bearmen	hkrul_bearmen	hkrul_bearmen	hkrul_bearmen
	hkrul_beorg_brown_feral	wh3_main_monster_feral_bears	wh3_main_monster_feral_bears	wh3_main_monster_feral_bears
	hkrul_beorg_ice_feral	wh3_main_monster_feral_ice_bears	wh3_main_monster_feral_ice_bears	wh3_main_monster_feral_ice_bears
	hkrul_beorg_bear_sem	wh3_main_monster_feral_bears	hkrul_beorg_bear_sem	hkrul_beorg_bear_sem
	hkrul_beorg_brown_feral_marked	phy_bears	phy_bears	hkrul_beorg_brown_feral_marked
	rhox_lccp_vmp_giant	airseal_lccp_vmp_giant	airseal_lccp_vmp_giant	hkrul_lccp_vmp_giant
	rhox_lccp_sceolan_wef_spellweaver_ice	wh2_dlc16_wef_cha_spellweaver_shadows_0	wh2_dlc16_wef_spellweaver_campaign_05	wh2_dlc16_wef_spellweaver
	rhox_lccp_sceolan_wef_spellweaver_ice_1	wh2_dlc16_wef_cha_spellweaver_shadows_1	wh2_dlc16_wef_spellweaver_campaign_05	wh2_dlc16_wef_spellweaver
	rhox_lccp_sceolan_wef_spellweaver_ice_2	wh2_dlc16_wef_cha_spellweaver_shadows_2	wh2_dlc16_wef_spellweaver_campaign_05	wh2_dlc16_wef_spellweaver
	rhox_lccp_sceolan_wef_spellweaver_ice_3	wh2_dlc16_wef_cha_spellweaver_shadows_3	wh2_dlc16_wef_spellweaver_campaign_05	wh2_dlc16_wef_spellweaver
	rhox_lccp_sceolan_wef_spellsinger_ice	wh_dlc05_wef_cha_spellsinger	wh_dlc05_wef_spellsinger	wh_dlc05_wef_spellsinger
	rhox_lccp_sceolan_wef_spellsinger_ice_1	wh_dlc05_wef_cha_spellsinger	wh_dlc05_wef_spellsinger_mounted	wh_dlc05_wef_spellsinger
	rhox_lccp_sceolan_wef_spellsinger_ice_2	wh_dlc05_wef_cha_spellsinger	wh_dlc05_wef_spellsinger_mounted	wh_dlc05_wef_spellsinger
	rhox_lccp_sceolan_wef_spellsinger_ice_3	wh_dlc05_wef_cha_spellsinger	wh_dlc05_wef_spellsinger_mounted	wh_dlc05_wef_spellsinger
	hkrul_gargul	hkrul_gargul	hkrul_gargul	hkrul_gargul
	hkrul_wundal	hkrul_wundal	hkrul_wundal	hkrul_wundal
	hkrul_skargel	hkrul_skargel	hkrul_skargel	hkrul_skargel
