key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/rhox_volrik		
wh_main_chs_art_hellcannon	cr_nor_avags	true
wh3_dlc20_chs_mon_warshrine	cr_nor_avags	true
wh3_main_tze_mon_flamers_0	cr_nor_avags	true
wh3_main_tze_mon_lord_of_change_0	cr_nor_avags	true
wh3_dlc20_chs_mon_warshrine_mtze	cr_nor_avags	true
wh3_main_tze_mon_soul_grinder_0	cr_nor_avags	true
wh3_main_tze_inf_pink_horrors_0	cr_nor_avags	true
wh3_dlc24_tze_mon_mutalith_vortex_beast	cr_nor_avags	true
wh3_main_tze_mon_screamers_0	cr_nor_avags	true
wh3_dlc24_tze_mon_cockatrice	cr_nor_avags	true
wh3_dlc20_chs_cav_chaos_chariot_mtze	cr_nor_avags	true
wh3_main_tze_cav_chaos_knights_0	cr_nor_avags	true
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	cr_nor_avags	true
wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins	cr_nor_avags	true
wh3_dlc20_chs_inf_chaos_marauders_mtze	cr_nor_avags	true
wh3_dlc20_chs_inf_chaos_marauders_mtze_spears	cr_nor_avags	true
wh3_dlc20_chs_inf_chaos_warriors_mtze	cr_nor_avags	true
wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds	cr_nor_avags	true
wh3_dlc20_chs_inf_chosen_mtze	cr_nor_avags	true
wh3_dlc20_chs_inf_chosen_mtze_halberds	cr_nor_avags	true
