key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit	audio_vo_actor_override
#unit_special_abilities_tables;73;db/unit_special_abilities_tables/rhox_iee_lccp																																																																							
rhox_sceolan_ice_heart_army_ability	32.0000	54.0000	1	30.0000	false	0	-1	true	0.0000		false	false	true	100.0000	false	false	5.0000	false	177275843				0.0000	0.0000	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage	wh3_main_ice_heart_of_winter			0.0000		direct_damage_multi_entity_area	wh3_main_ability_modular	ice_long	vo_battle_special_ability_spell_cast_wef_life	50.0000	150.0000				false	true	false	false				false	true	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true		Ice			false	
rhox_arbaal_spawn_spawn	0.0000	0.0000	-1	0.0000	true	1	0	false	0.0000		false	false	false	0.0000	false	false	3.0000	false	177275844		rhox_arbaal_spawn	cast_up_short	0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn			wh3_main_army_abilities_blade_of_khorne	0.0000		tzarkan	wh_group_lord_ability		vo_battle_special_ability_spell_cast_fireball	0.0000	0.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	true	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					false	
wh2_torinubar_kinetic_wave	3.0000	44.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	177275845			cast_up_medium	0.0000	0.0000	wh_abilities_generic_explosion				wh2_dlc14_lord_abilities_halo_of_maidenly_wrath	0.0000		aoe_centred_on_self	wh_group_lord_ability		vo_battle_special_ability_generic_response	105.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	2	false	0.0000		true					false	
wh2_torinubar_kinetic_combat	-1.0000	-1.0000	-1	0.0000	true	0	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	177275846				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	0.0000	82.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	1	false	0.0000		true					false	
rhox_sceolan_bound_blizzard	18.0000	54.0000	2	0.0000	false	0	0	false	0.0000		false	true	true	200.0000	false	false	5.0000	false	177275847			cast_up_long	0.0000	0.0000	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh3_main_spell_tempest_blizzard_upgraded	0.0000		aoe_ap	wh3_main_ability_modular	tempest_long	vo_battle_special_ability_spell_cast_foot_of_gork	0.0000	200.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true		Tempest			false	
rhox_duriath_pour_everything	20.0000	40.0000	3	0.0000	false	0	0	false	120.0000		false	true	true	-1.0000	false	false	1.0000	false	177275848	rhox_duriath_pour_everything			0.0000	0.0000	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment	wh_army_abilities_generic_bombardment_active			0.0000		aoe_bombardment	wh_group_unit		vo_battle_special_ability_black_ark	0.0000	200.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	2	false	1.0000		true					false	
rhox_zach_token	-1.0000	-1.0000	-1	35.0000	true	-1	0	true	-1.0000		false	false	false	35.0000	false	false	0.0000	true	177275849				0.0000	0.0000	wh_abilities_generic_regeneration					0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					false	
rhox_zach_dragon_blood	18.0000	90.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	177275850				0.0000	0.0000	wh_abilities_generic_buff_wom_no_ring					0.0000		augment_spellcasting	wh_group_dark_magic		vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false	
rhox_karitamen_vengence	-1.0000	-1.0000	-1	35.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	177275851				0.0000	0.0000	wh_abilities_generic_direct_damage					0.0000			wh_dlc03_spell_beasts_flock_of_doom	beasts_short	vo_battle_special_ability_spell_cast_negative	150.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true	Beasts				false	
rhox_dolmance_harmony_in_excess	-1.0000	-1.0000	-1	55.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	177275852				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					false	
rhox_slaurith_bloodrage	36.0000	60.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	177275853				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh3_main_ability_kho_slaughter_and_carnage		vo_battle_special_ability_generic_response	150.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true		Khorne			false	
hkrul_burlok_warm	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	177275860				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	75.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	true	buff_self	1	false	1.0000		true					false	
rhox_karitamen_legacy_of_conquest	27.0000	49.0000	1	0.0000	false	0	0	false	0.0000		false	true	true	150.0000	false	false	5.0000	false	177275861				0.0000	0.0000	wh_abilities_generic_vortex	wh_abilities_generic_vortex			rhox_karitamen_legacy_of_conquest	0.0000		vortex	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	nehekhara_long	vo_battle_special_ability_spell_cast_tmb_vortex	0.0000	400.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					false	
