ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/rhox_iee_lccp	
wh2_main_lore_high_magic	hef_calith_torinubar
wh2_main_lore_high_magic	hef_calith_torinubar_eagle
wh2_main_lore_high_magic	hef_calith_torinubar_dragon
rhox_zach_lore	hkrul_zach
rhox_zach_lore	hkrul_zach_dragon
wh2_dlc09_lore_nehekhara	hkrul_karitamen
wh2_dlc09_lore_nehekhara	hkrul_karitamen_horse
wh2_dlc09_lore_nehekhara	hkrul_karitamen_chariot
wh2_dlc09_lore_nehekhara	hkrul_karitamen_casket
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellweaver_ice
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellweaver_ice_1
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellweaver_ice_2
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellweaver_ice_3
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellsinger_ice
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellsinger_ice_1
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellsinger_ice_2
wh3_main_lore_of_ice	rhox_lccp_sceolan_wef_spellsinger_ice_3
