campaign_group	ritual	unlock_mission	unlock_turn	initially_unlocked
#campaign_group_rituals_tables;1;db/campaign_group_rituals_tables/rhox_iee_lccp				
rhox_volrik_feature	wh3_main_ritual_tze_cotw_halt_faction		0	true
rhox_volrik_feature	wh3_main_ritual_tze_cotw_open_gates		0	true
rhox_volrik_feature	wh3_main_ritual_tze_cotw_reveal_shroud		0	true
rhox_volrik_feature	wh3_main_ritual_tze_cotw_track_army		0	true
rhox_volrik_feature	wh3_main_ritual_tze_cotw_force_rebellion		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_1		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_2		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_3		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_4		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_5		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_6		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_7		0	true
rhox_burlok_feature	rhox_burlok_ritual_burlok_artifact_8		0	true
rhox_dolmance_feature	wh3_main_ritual_sla_pleasure_arena		0	true
rhox_dolmance_feature	wh3_main_ritual_sla_pleasure_hunt		0	true
rhox_dolmance_feature	wh3_main_ritual_sla_pleasure_party		0	true
wh3_dlc25_dwf_rituals	rhox_burlok_dwf_ritual_legendary_lord_burlok		0	true
rhox_hrothyogg_feature	wh3_dlc26_ogr_ritual_golgfag_teleport		0	true
