ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_sceolan			
rhox_sceolan_the_buckler	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
rhox_sceolan_the_buckler	wh_main_effect_character_stat_melee_defence	character_to_character_own	11.0000
rhox_sceolan_the_buckler	wh_main_effect_character_stat_weapon_strength_ap_damage_mult	character_to_character_own	3.0000
rhox_sceolan_the_buckler	wh_dlc05_effect_force_stat_armour_wef_elf_units	general_to_force_own	5.0000
rhox_sceolan_the_buckler	wh_main_effect_character_stat_armour	character_to_character_own	7.0000
rhox_sceolan_the_bow_of_loren	wh_main_effect_character_stat_range	character_to_character_own	10.0000
rhox_sceolan_the_bow_of_loren	wh_main_effect_character_stat_missile_damage	character_to_character_own	22.0000
rhox_sceolan_the_bow_of_loren	wh2_dlc13_effect_ability_enable_amber_bow	character_to_character_own	1.0000
rhox_sceolan_the_bow_of_loren	wh_main_effect_attribute_enable_stalk	character_to_character_own	1.0000
