building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/rhox_torinubar						
rhox_torinubar_sound_toll_1	wh_main_faction_political_diplomacy_mod		building_to_faction_own	-2.0000	-2.0000	0.0000
rhox_torinubar_sound_toll_2	wh_main_faction_political_diplomacy_mod		building_to_faction_own	-5.0000	-5.0000	0.0000
rhox_torinubar_sound_toll_3	wh_main_faction_political_diplomacy_mod		building_to_faction_own	-10.0000	-10.0000	0.0000
rhox_torinubar_sound_toll_1	wh_main_effect_economy_trade_tariff_mod		building_to_faction_own	10.0000	5.0000	0.0000
rhox_torinubar_sound_toll_2	wh_main_effect_economy_trade_tariff_mod		building_to_faction_own	20.0000	10.0000	0.0000
rhox_torinubar_sound_toll_3	wh_main_effect_economy_trade_tariff_mod		building_to_faction_own	30.0000	15.0000	0.0000
rhox_torinubar_sound_toll_3	wh3_dlc23_effect_technology_chd_convoy_mod_active_convoys		building_to_faction_own	1.0000	1.0000	0.0000
rhox_torinubar_sound_toll_1	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	100.0000	50.0000	0.0000
rhox_torinubar_sound_toll_2	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	200.0000	100.0000	0.0000
rhox_torinubar_sound_toll_3	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	400.0000	200.0000	0.0000
rhox_torinubar_sound_toll_1	rhox_torinubar_east_cargo_per_turn		building_to_faction_own	5.0000	5.0000	0.0000
rhox_torinubar_sound_toll_1	rhox_torinubar_west_cargo_per_turn		building_to_faction_own	5.0000	5.0000	0.0000
rhox_torinubar_sound_toll_2	rhox_torinubar_east_cargo_per_turn		building_to_faction_own	10.0000	10.0000	0.0000
rhox_torinubar_sound_toll_2	rhox_torinubar_west_cargo_per_turn		building_to_faction_own	10.0000	10.0000	0.0000
rhox_torinubar_sound_toll_3	rhox_torinubar_east_cargo_per_turn		building_to_faction_own	20.0000	20.0000	0.0000
rhox_torinubar_sound_toll_3	rhox_torinubar_west_cargo_per_turn		building_to_faction_own	20.0000	20.0000	0.0000
rhox_torinubar_east_foreign_1	rhox_torinubar_east_cargo_per_turn	TreasuryGreaterThan5000	foreign_building_to_faction_own_unseen	2.0000	2.0000	0.0000
rhox_torinubar_east_foreign_2	rhox_torinubar_east_cargo_per_turn	TreasuryGreaterThan5000	foreign_building_to_faction_own_unseen	4.0000	4.0000	0.0000
rhox_torinubar_east_foreign_3	rhox_torinubar_east_cargo_per_turn	TreasuryGreaterThan5000	foreign_building_to_faction_own_unseen	8.0000	8.0000	0.0000
rhox_torinubar_east_foreign_4	rhox_torinubar_east_cargo_per_turn	TreasuryGreaterThan5000	foreign_building_to_faction_own_unseen	16.0000	16.0000	0.0000
rhox_torinubar_east_foreign_5	rhox_torinubar_east_cargo_per_turn	TreasuryGreaterThan5000	foreign_building_to_faction_own_unseen	32.0000	32.0000	0.0000
rhox_torinubar_east_foreign_1	wh_main_effect_economy_gdp_trade_sea	TreasuryGreaterThan5000	foreign_building_to_foreign_building_own	-50.0000	-50.0000	0.0000
rhox_torinubar_east_foreign_2	wh_main_effect_economy_gdp_trade_sea	TreasuryGreaterThan5000	foreign_building_to_foreign_building_own	-100.0000	-100.0000	0.0000
rhox_torinubar_east_foreign_3	wh_main_effect_economy_gdp_trade_sea	TreasuryGreaterThan5000	foreign_building_to_foreign_building_own	-200.0000	-200.0000	0.0000
rhox_torinubar_east_foreign_4	wh_main_effect_economy_gdp_trade_sea	TreasuryGreaterThan5000	foreign_building_to_foreign_building_own	-400.0000	-400.0000	0.0000
rhox_torinubar_east_foreign_5	wh_main_effect_economy_gdp_trade_sea	TreasuryGreaterThan5000	foreign_building_to_foreign_building_own	-800.0000	-800.0000	0.0000
rhox_torinubar_east_foreign_1	wh_main_effect_force_stat_missile_damage	TreasuryGreaterThan5000	foreign_building_to_force_own_factionwide	1.0000	1.0000	0.0000
rhox_torinubar_east_foreign_2	wh_main_effect_force_stat_missile_damage	TreasuryGreaterThan5000	foreign_building_to_force_own_factionwide	2.0000	2.0000	0.0000
rhox_torinubar_east_foreign_3	wh_main_effect_force_stat_missile_damage	TreasuryGreaterThan5000	foreign_building_to_force_own_factionwide	3.0000	3.0000	0.0000
rhox_torinubar_east_foreign_4	wh_main_effect_force_stat_missile_damage	TreasuryGreaterThan5000	foreign_building_to_force_own_factionwide	4.0000	4.0000	0.0000
rhox_torinubar_east_foreign_5	wh_main_effect_force_stat_missile_damage	TreasuryGreaterThan5000	foreign_building_to_force_own_factionwide	5.0000	5.0000	0.0000
rhox_torinubar_east_foreign_1	rhox_torinubar_west_cargo_per_turn	RhoxWesternGreaterThan50	foreign_building_to_faction_own_unseen	-1.0000	-1.0000	0.0000
rhox_torinubar_east_foreign_2	rhox_torinubar_west_cargo_per_turn	RhoxWesternGreaterThan50	foreign_building_to_faction_own_unseen	-2.0000	-2.0000	0.0000
rhox_torinubar_east_foreign_3	rhox_torinubar_west_cargo_per_turn	RhoxWesternGreaterThan50	foreign_building_to_faction_own_unseen	-4.0000	-4.0000	0.0000
