building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/rhox_valbrand						
rhox_valbrand_nor_beasts_2	wh_dlc08_effect_agent_enable_recruitment_champion_norsca		force_to_force_own	1.0000	1.0000	0.0000
rhox_valbrand_nor_beasts_2	wh_dlc08_effect_skill_agent_cap_increase_champion_skin_wolf_werekin		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_valbrand_nor_beasts_3	wh_dlc08_effect_agent_enable_recruitment_champion_norsca		force_to_force_own	1.0000	1.0000	0.0000
rhox_valbrand_nor_beasts_3	wh_dlc08_effect_skill_agent_cap_increase_champion_skin_wolf_werekin		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_valbrand_nor_creatures_2	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_valbrand_nor_creatures_2	wh_dlc08_effect_agent_enable_recruitment_dignitary_norsca		force_to_force_own	1.0000	1.0000	0.0000
rhox_valbrand_nor_creatures_3	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
rhox_valbrand_nor_creatures_3	wh_dlc08_effect_agent_enable_recruitment_dignitary_norsca		force_to_force_own	1.0000	1.0000	0.0000
rhox_valbrand_nor_loot_1	wh_main_effect_force_all_campaign_post_battle_loot_mod		force_to_general_own	10.0000	5.0000	0.0000
rhox_valbrand_nor_loot_1	wh_main_effect_hordebuilding_growth_core		force_to_force_own	10.0000	5.0000	0.0000
rhox_valbrand_nor_loot_2	wh_main_effect_force_all_campaign_post_battle_loot_mod		force_to_general_own	20.0000	10.0000	0.0000
rhox_valbrand_nor_loot_2	wh_main_effect_hordebuilding_growth_core		force_to_force_own	20.0000	10.0000	0.0000
rhox_valbrand_nor_loot_3	wh_main_effect_force_all_campaign_post_battle_loot_mod		force_to_general_own	30.0000	15.0000	0.0000
rhox_valbrand_nor_loot_3	wh_main_effect_hordebuilding_growth_core		force_to_force_own	30.0000	15.0000	0.0000
rhox_valbrand_nor_offerings_1	wh_main_effect_agent_action_outcome_parent_army_xp_gain		force_to_force_own	50.0000	25.0000	0.0000
rhox_valbrand_nor_offerings_1	wh_main_effect_force_all_campaign_experience_base_all		force_to_force_own	1.0000	1.0000	0.0000
rhox_valbrand_nor_offerings_1	wh_main_effect_force_all_campaign_replenishment_rate		force_to_force_own	5.0000	5.0000	0.0000
rhox_valbrand_nor_offerings_2	wh_main_effect_agent_action_outcome_parent_army_xp_gain		force_to_force_own	100.0000	50.0000	0.0000
rhox_valbrand_nor_offerings_2	wh_main_effect_force_all_campaign_experience_base_all		force_to_force_own	2.0000	2.0000	0.0000
rhox_valbrand_nor_offerings_2	wh_main_effect_force_all_campaign_replenishment_rate		force_to_force_own	10.0000	10.0000	0.0000
rhox_valbrand_nor_settlement_major_1	wh3_main_effect_corruption_chaos_buildings		force_to_province_own	2.0000	2.0000	0.0000
rhox_valbrand_nor_settlement_major_1	wh_main_effect_economy_gdp_subsistance		force_to_force_building	20.0000	20.0000	0.0000
rhox_valbrand_nor_settlement_major_1	wh_main_effect_hordebuilding_growth_core		force_to_force_own	10.0000	5.0000	0.0000
rhox_valbrand_nor_settlement_major_1	wh_main_effect_force_all_recruitment_points		force_to_force_own	2.0000	1.0000	1.0000
