initiative	payload	refresh_time
#campaign_payload_to_initiative_junctions_tables;0;db/campaign_payload_to_initiative_junctions_tables/rhox_lccp		
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	rhox_valbrand_bloodletters_x1	3
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	rhox_valbrand_bloodthirsters_x1	4
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	rhox_valbrand_flesh_hounds_x1	3
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	rhox_valbrand_skullcannons_x1	4
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	rhox_valbrand_soul_grinder_kho_x1	4
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	rhox_valbrand_warshrine_kho_x1	4
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	rhox_valbrand_hellcannons_x1	4
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	rhox_valbrand_warshrine_und_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers	wh3_dlc20_flamers_x2	4
rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons	wh3_dlc20_hellcannons_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change	wh3_dlc20_lord_of_change_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors	wh3_dlc20_pink_horrors_x1	3
rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers	wh3_dlc20_screamers_x1	3
rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder	wh3_dlc20_soul_grinder_tze_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine	wh3_dlc20_warshrine_tze_x1	4
rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine	wh3_dlc20_warshrine_und_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice	wh3_dlc24_cockatrice_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast	wh3_dlc24_mutalith_vortex_beast_x1	4
rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers	wh3_dlc24_changebringers_x1	4
rhox_valbrand_faction_initiative_chs_khorne_3_units_bloodbeast	wh3_dlc26_kho_mon_bloodbeast_of_khorne_x1	4
rhox_valbrand_faction_initiative_chs_khorne_5_units_slaughterbrute	wh3_dlc26_kho_mon_slaughterbrute_x1	4
