base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/rhox_iee_lccp		
hef_calith_torinubar	hef_calith_torinubar_eagle	ui/campaign ui/mounts/mount_great_eagle.png
hef_calith_torinubar	hef_calith_torinubar_dragon	ui/campaign ui/mounts/mount_star_dragon.png
hkrul_karitamen	hkrul_karitamen_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
hkrul_karitamen	hkrul_karitamen_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
hkrul_sceolan	hkrul_sceolan_dragon	ui/campaign ui/mounts/mount_forest_dragon.png
hkrul_duriath	hkrul_duriath_horse	ui/campaign ui/mounts/mount_dark_steed.png
hkrul_duriath	hkrul_duriath_dragon	ui/campaign ui/mounts/mount_black_dragon.png
hkrul_duriath	hkrul_duriath_pegasus	ui/campaign ui/mounts/mount_dark_pegasus.png
hkrul_zach	hkrul_zach_dragon	ui/campaign ui/mounts/mount_zombie_dragon.png
hkrul_hrothyogg	hkrul_hrothyogg_crusher	ui/campaign ui/mounts/mount_stonehorn.png
hkrul_thorgar	hkrul_thorgar_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
hkrul_slaurith	hkrul_slaurith_mount	ui/campaign ui/mounts/mount_chaos_dragon.png
hkrul_volrik	hkrul_volrik_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
hkrul_engra	hkrul_engra_horse	ui/campaign ui/mounts/mount_chaos_steed.png
hkrul_vroth	hkrul_vroth_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
hkrul_vroth	hkrul_vroth_mammoth	ui/campaign ui/mounts/mount_mammoth.png
hkrul_aelfric	hkrul_aelfric_horse	ui/campaign ui/mounts/mount_chaos_steed.png
rhox_lccp_sceolan_wef_spellweaver_ice	rhox_lccp_sceolan_wef_spellweaver_ice_1	ui/campaign ui/mounts/mount_warhorse.png
rhox_lccp_sceolan_wef_spellweaver_ice	rhox_lccp_sceolan_wef_spellweaver_ice_2	ui/campaign ui/mounts/mount_unicorn.png
rhox_lccp_sceolan_wef_spellweaver_ice	rhox_lccp_sceolan_wef_spellweaver_ice_3	ui/campaign ui/mounts/mount_great_eagle.png
rhox_lccp_sceolan_wef_spellsinger_ice	rhox_lccp_sceolan_wef_spellsinger_ice_1	ui/campaign ui/mounts/mount_warhorse.png
rhox_lccp_sceolan_wef_spellsinger_ice	rhox_lccp_sceolan_wef_spellsinger_ice_2	ui/campaign ui/mounts/mount_great_eagle.png
rhox_lccp_sceolan_wef_spellsinger_ice	rhox_lccp_sceolan_wef_spellsinger_ice_3	ui/campaign ui/mounts/mount_unicorn.png
hkrul_spew	hkrul_spew_rider	ui/campaign ui/mounts/rikko_spew_maggoth.png
