agent_subtype	campaign_type
#campaign_to_agent_subtypes_tables;0;db/campaign_to_agent_subtypes_tables/rhox_iee_lccp	
hkrul_sceolan	cr_combi_expanded
hkrul_valbrand	cr_combi_expanded
hkrul_volrik	cr_combi_expanded
hkrul_zach	cr_combi_expanded
hef_calith_torinubar	cr_combi_expanded
hkrul_orghotts	cr_combi_expanded
hkrul_hrothyogg	cr_combi_expanded
hkrul_aelfric	cr_combi_expanded
hkrul_burlok	cr_combi_expanded
hkrul_dolmance	cr_combi_expanded
hkrul_thorgar	cr_combi_expanded
hkrul_slaurith	cr_combi_expanded
hkrul_arbaal	cr_combi_expanded
hkrul_engra	cr_combi_expanded
hkrul_vroth	cr_combi_expanded
hkrul_karitamen	cr_combi_expanded
hkrul_duriath	cr_combi_expanded
hkrul_beorg	cr_combi_expanded
hkrul_oerl	cr_combi_expanded
hkrul_beorg	wh3_main_combi
hkrul_oerl	wh3_main_combi
hkrul_beorg	cr_oldworld
hkrul_zach	cr_oldworld
hkrul_duriath	cr_oldworld
