faction_key	variant_name
#climbing_ladders_meshes_definitions_tables;0;db/climbing_ladders_meshes_definitions_tables/rhox_iee_lccp	
rhox_brt_reveller_of_domance	wh_main_brt_siege_ladder
rhox_def_key_keepers	wh2_main_def_siege_ladder_01
rhox_kho_destroyers_of_khorne	wh_main_glb_siege_ladder_01
rhox_nor_firebrand_slavers	wh_main_glb_siege_ladder_02
rhox_vmp_the_everliving	wh_main_glb_siege_ladder_02
rhox_wef_far_away_forest	wh_main_glb_siege_ladder_02
rhox_nor_ravenblessed	wh_main_glb_siege_ladder_02
rhox_nor_khazags	wh_main_glb_siege_ladder_02
rhox_chs_the_deathswords	wh_main_glb_siege_ladder_02
