key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/rhox_iee_lccp	
hef_torinubar_staff_magic	humanoid01d
hu1c_nor_phy_valbrand_01	humanoid01c
aelfric	humanoid01c
orghotts	humanoid13
volrik	humanoid01c
brt_dolmance_sword	humanoid01
thorgar	humanoid01c
hu1c_arbaal_rider	humanoid01c
bc4_arbaal_mount	bigcat04
engra	humanoid01c
hu3_dwf_phy_burlok_01	humanoid03
thm_hu1_light_liche	humanoid01
thm_hu1_light_liche_hr1	humanoid01
thm_hu1_light_liche_chariot	humanoid01
duriath	humanoid01d
hu1c_wh3_norsca_wb_javelin_lord	humanoid01c
hu1c_wh3_norsca_wm_javelin_lord	humanoid01c
tprince	humanoid10e
hu1c_wh3_chaos_hr1_glhh_engra	humanoid01c
rhox_slaurith	humanoid01c
rhox_spew_maggoth	heavyquadruped03o
rhox_spew_rider	humanoid13
