campaign_group	resource	initial_amount
#campaign_group_pooled_resources_tables;1;db/campaign_group_pooled_resources_tables/rhox_iee_lccp		
rhox_valbrand_feature	def_slaves	500
rhox_valbrand_feature	rhox_valbrand_slaves_spent_kho	0
rhox_valbrand_feature	rhox_valbrand_slaves_spent_und	0
rhox_torinubar_feature	rhox_torinubar_east	100
rhox_torinubar_feature	rhox_torinubar_west	100
rhox_volrik_feature	rhox_volrik_book_spent_tze	0
rhox_volrik_feature	rhox_volrik_book_spent_und	0
rhox_volrik_feature	wh3_main_tze_grimoires	500
rhox_burlok_feature	rhox_burlok_artifact_part_1a	0
rhox_burlok_feature	rhox_burlok_artifact_part_1b	0
rhox_burlok_feature	rhox_burlok_artifact_part_2a	0
rhox_burlok_feature	rhox_burlok_artifact_part_2b	0
rhox_burlok_feature	rhox_burlok_artifact_part_3a	0
rhox_burlok_feature	rhox_burlok_artifact_part_3b	0
rhox_burlok_feature	rhox_burlok_artifact_part_4a	0
rhox_burlok_feature	rhox_burlok_artifact_part_4b	0
rhox_burlok_feature	rhox_burlok_artifact_part_5a	0
rhox_burlok_feature	rhox_burlok_artifact_part_5b	0
rhox_burlok_feature	rhox_burlok_artifact_part_6a	0
rhox_burlok_feature	rhox_burlok_artifact_part_6b	0
rhox_burlok_feature	rhox_burlok_artifact_part_7a	0
rhox_burlok_feature	rhox_burlok_artifact_part_7b	0
rhox_burlok_feature	rhox_burlok_artifact_part_8a	0
rhox_burlok_feature	rhox_burlok_artifact_part_8b	0
rhox_dolmance_feature	wh3_main_sla_devotees	300
