key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/rhox_iee_lccp							
hkrul_valbrand	hu1c_nor_phy_valbrand_01	hkrul_valbrand	wh_main_nor_phy_valbrand_infantry_standard_large_fast_hero_blood_dismembers		false	true	false
hef_calith_torinubar_eagle_rider	hu1d_elf_bi1_teclis_wb_staff_and_sword	hef_calith_torinubar	wh2_main_hef_infantry_hero_tyrion_blood		true	true	false
hef_calith_torinubar_dragon_rider	hu1d_elf_bi1_teclis_wb_staff_and_sword	hef_calith_torinubar	wh2_main_hef_infantry_hero_tyrion_blood		true	true	false
hkrul_arbaal_mounted	hu1c_arbaal_rider	hkrul_arbaal_mounted	wh3_dlc20_chs_cha_lord_hero	wh_main_dwf_cha_thorgrim	true	true	false
hkrul_burlok	hu3_dwf_phy_burlok_01	hkrul_burlok	wh_main_dwf_cha_dwarf_hero_blood_dismembers		false	true	false
hkrul_karitamen_chariot_rider	thm_hu1_light_liche_chariot	hkrul_karitamen	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
hkrul_volrik_chariot_rider	hu1c_chaos_wm_chariot_axe_and_shield	hkrul_volrik	wh_main_infantry_rider_character_blood		false	true	false
hkrul_slaurith_mount	hu1c_wh3_dlc20_hr1_glhh_2handed_axe	hkrul_slaurith	wh3_main_infantry_standard_large_slaurith_blood_dismembers		true	true	false
hkrul_thorgar_chariot_rider	hu1c_chaos_wm_chariot_axe_and_shield	hkrul_thorgar	wh_main_infantry_rider_character_blood		false	true	false
hkrul_vroth_chariot_rider	hu1c_wh3_norsca_wm_javelin_lord	hkrul_vroth	wh_main_infantry_rider_character_blood	rhox_vroth_rider_entity_stats	true	true	false
hkrul_vroth_mammoth_rider	hu1c_wh3_norsca_wb_javelin_lord	hkrul_vroth	wh_main_infantry_rider_character_blood	rhox_vroth_rider_entity_stats	true	true	false
rhox_vroth_secondary_mammoth_rider_0	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
rhox_vroth_secondary_mammoth_rider_1	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
rhox_vroth_secondary_mammoth_rider_2	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
rhox_vroth_secondary_mammoth_rider_3	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
rhox_vroth_secondary_mammoth_rider_4	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
rhox_vroth_secondary_mammoth_rider_5	hu1c_norsca_wb_mammoth_javelin	wh_dlc08_nor_war_mammoth_howdah_rider	wh_main_infantry_rider	rhox_vroth_secondary_mammoth_rider	false	true	false
hkrul_karitamen_casket_mounted	hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	hkrul_karitamen	hkrul_karitamen_casket_mounted		true	true	false
rhox_spew_rider	hu13_wh3_hq3b_stonehorn_spear	hkrul_orghotts	rhox_orghotts		true	false	false
