effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/hkrul_aelfric					
hkrul_enable_immortality		0		campaign	true
hkrul_aelfric_helm	item_ability.png	300	item_ability.png	battle	true
hkrul_aelfric_sword	item_ability.png	300	item_ability.png	battle	true
hkrul_aelfric_pal	item_ability.png	300	item_ability.png	battle	true
hkrul_aelfric_nordland_damage	weapon_damage.png	97	weapon_damage.png	battle	true
hkrul_aelfric_horse	mount.png	50	mount.png	both	true
hkrul_aelfric_mark	item_ability.png	300	item_ability.png	battle	true
hkrul_aelfric_mark_trait	item_ability.png	300	item_ability.png	battle	true
hkrul_aelfric_howl	item_ability.png	300	item_ability.png	battle	true
