effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/wolf_calithian_elves					
hef_calith_torinubar_enable_kinetic_explosion	general_ability.png	600	general_ability.png	battle	true
rhox_torinubar_window_to_the_east_dummy	cargo.png	1	cargo.png	campaign	true
rhox_torinubar_east_cargo_per_turn	rhox_torinubar_east_resource.png	3	rhox_torinubar_east_resource.png	campaign	true
rhox_torinubar_west_cargo_per_turn	rhox_torinubar_west_resource.png	4	rhox_torinubar_west_resource.png	campaign	true
rhox_torinubar_purchase_east	rhox_torinubar_east_resource.png	1	rhox_torinubar_east_resource.png	campaign	true
rhox_torinubar_purchase_west	rhox_torinubar_west_resource.png	1	rhox_torinubar_west_resource.png	campaign	true
rhox_torinubar_entrepot_dummy	resource_gemstones_large.png	2	resource_gemstones_large.png	campaign	true
rhox_torinubar_melee_attack_gate_guard	melee.png	431	melee.png	battle	true
rhox_torinubar_melee_defence_gate_guard	defence.png	451	defence.png	battle	true
rhox_torinubar_negate_climate_dummy	climate_uninhabitable.png	1	climate_uninhabitable.png	campaign	true
rhox_torinubar_effect_building_construction_time_mod_all		0		campaign	false
rhox_torinubar_effect_climate_recruitment_duration_all		0		campaign	false
rhox_torinubar_effect_province_growth_climate		0		campaign	true
rhox_torinubar_effect_public_order_climate		0		campaign	true
rhox_torinubar_effect_building_construction_cost_mod		0		campaign	false
rhox_torinubar_effect_economy_gdp_mod_all		0		campaign	true
rhox_torinubar_effect_force_all_campaign_replenishment_rate		0		campaign	true
