effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/rhox_iee_lccp					
rhox_iee_nor_efficient_hunter_dummy	effect_valbrand_hunter.png	3	effect_valbrand_hunter.png	both	true
rhox_iee_nor_efficient_hunter_dummy2	effect_bundle_volrik_hunter.png	3	effect_bundle_volrik_hunter.png	both	true
rhox_iee_nor_efficient_hunter_dummy3	effect_bundle_thorgar_hunter.png	3	effect_bundle_thorgar_hunter.png	both	true
rhox_hrothyogg_effect_agent_action_enable_wizard_hinder_settlement_expand_mercenary_branch_office_unique		0		campaign	true
rhox_hrothyogg_recruiter_mercenary_branch_office_dummy	treasury.png	106	treasury.png	campaign	true
rhox_hrothyogg_region_owner_mercenary_gain_chance	merc.png	106	merc.png	campaign	true
rhox_hrothyogg_building_destoryed_if_not_alliance_dummy	trickster_cult.png	999	trickster_cult.png	campaign	false
rhox_hrothyogg_effect_force_stat_melee_attack_maneaters	melee.png	431	melee.png	battle	true
rhox_hrothyogg_effect_force_stat_melee_defence_maneaters	defence.png	451	defence.png	battle	true
hkrul_spew_riders_rank	experience.png	800	experience.png	campaign	true
hkrul_spew_dummy_quest	effect_bundle_spew_quest_dummy.png	1	effect_bundle_spew_quest_dummy.png	both	true
rhox_dolmance_devotee_dummy	devotees.png	70	devotees.png	campaign	true
rhox_dolmance_wine_dummy	resource_wine.png	2	resource_wine.png	campaign	true
rhox_sceolan_embrace_cold_dummy	kislev_ice_court.png	10	kislev_ice_court.png	campaign	true
rhox_sceolan_ice_heart_army_ability	general_ability.png	301	general_ability.png	battle	true
rhox_sceolan_effect_skill_weapon_damage_increase_wef_wardancers_wildwood_rangers	weapon_damage.png	461	weapon_damage.png	battle	true
rhox_engra_alliance_dummy	diplomacy.png	106	diplomacy.png	campaign	true
rhox_engra_meter_dummy	allegiance.png	461	allegiance.png	battle	true
rhox_engra_vassal_effect_dummy	weapon_damage.png	461	weapon_damage.png	battle	true
rhox_engra_vassal_effect_script_value	weapon_damage.png	461	weapon_damage.png	battle	true
rhox_engra_archaon_effect_dummy	allegiance.png	1	allegiance.png	battle	true
rhox_arbaal_resource_per_turn	effect_bundle_arbaal.png	461	effect_bundle_arbaal.png	campaign	true
rhox_arbaal_spawn_spawn	item_ability.png	300	item_ability.png	battle	true
effect_bundle_arbaal_dummy1	effect_bundle_arbaal_dummy1.png	3	effect_bundle_arbaal_dummy1.png	both	true
effect_bundle_arbaal_dummy2	effect_bundle_arbaal_dummy2.png	3	effect_bundle_arbaal_dummy2.png	both	false
