ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_adventurers	
wh_main_character_abilities_foe_seeker	hkrul_rhobb
wh_main_character_abilities_deadly_onslaught	hkrul_rhobb
wh_main_character_abilities_foe_seeker	hkrul_thulgrim
wh_main_character_abilities_deadly_onslaught	hkrul_thulgrim
wh_main_character_abilities_foe_seeker	hkrul_shaz
wh_main_character_abilities_deadly_onslaught	hkrul_shaz
wh3_main_unit_passive_single_entity	hkrul_rhobb
wh3_main_unit_passive_single_entity	hkrul_thulgrim
wh3_main_unit_passive_single_entity	hkrul_shaz
hkrul_shaz_stout	hkrul_shaz
hkrul_thulgrim_time	hkrul_thulgrim
hkrul_rhobb_axe	hkrul_rhobb
hkrul_burlok_warm	hkrul_burlok
wh_main_character_abilities_foe_seeker	hkrul_burlok
wh_main_character_abilities_stand_your_ground	hkrul_burlok
wh_main_character_abilities_foe_seeker	hkrul_wundal
wh_main_character_abilities_deadly_onslaught	hkrul_wundal
wh_main_character_abilities_foe_seeker	hkrul_skargel
wh_main_character_abilities_deadly_onslaught	hkrul_skargel
wh3_main_unit_passive_single_entity	hkrul_wundal
wh3_main_unit_passive_single_entity	hkrul_skargel
wh2_dlc17_hero_abilities_more_powder_generic	hkrul_gargul
wh3_main_unit_passive_single_entity	hkrul_gargul
wh_main_hero_abilities_ballistics_calibration	hkrul_gargul
wh_main_hero_passive_extra_powder	hkrul_gargul
wh_main_unit_abilities_entrenchment	hkrul_gargul
wh_pro01_lord_abilities_flash_bomb	hkrul_gargul
hkrul_gargul_aim	hkrul_gargul
hkrul_skargel_mine	hkrul_skargel
hkrul_wundal_frog	hkrul_wundal
