character_skill	unit_list_display
#character_skill_to_unit_list_display_junctions_tables;0;db/character_skill_to_unit_list_display_junctions_tables/rhox_lccp_torinubar	
rhox_torinubar_convoy_skill_innate_hef_prince_army_3_competent	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_army_3_respectful	rhox_torinubar_elite
rhox_torinubar_convoy_skill_innate_hef_prince_army_3_strong_willed	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_battle_3_elusive	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_battle_3_hale_and_hearty	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_battle_3_trained	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_campaign_3_observant	rhox_torinubar_ranged
rhox_torinubar_convoy_skill_innate_hef_prince_army_7_doctrinal	rhox_torinubar_elite
rhox_torinubar_convoy_skill_innate_hef_prince_army_7_dragon_willed	rhox_torinubar_dragon_willed
rhox_torinubar_convoy_skill_innate_hef_prince_army_7_resistant	rhox_torinubar_infantry
rhox_torinubar_convoy_skill_innate_hef_prince_battle_7_dangerous	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_battle_7_resilient	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_battle_7_vigorous	rhox_torinubar_basic
rhox_torinubar_convoy_skill_innate_hef_prince_campaign_7_adept	rhox_torinubar_ranged
