key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
#factions_tables;6;db/factions_tables/!!rhox_iee_lccp																																												
cr_brt_leofrics_fellowship	186459887	wh_main_sc_brt_bretonnia		names_brt_bretonnia	wh_main_brt_bretonnia	wh_main_brt_bretonnia	false	ui/flags/cr_brt_leofrics_fellowship	wh_main_group_bretonnia	0	names_brt_bretonnia	names_brt_bretonnia	FACTION_ASHIKAGA	wh_main_vo_culture_Bretonnian	wh_mp_force_gen_bretonnia	brt				false	WH_Bretonnia	LOCKED_STANDARD	wh_main_vo_actor_Bretonnian_Lord		all	false	FFFFFF	24B629	DCCC1C	FFFFFF	24B629	DCCC1C	24B629	false	Feedback_Alignment_Good_Faction	wh3_main_theme_caledor_sky	24B629	000000	000000	000000	000000	000000	000000	000000
cr_chs_the_scourgeborn	932459690	wh_main_sc_chs_chaos		names_chs_chaos	wh_main_chs_chaos	wh3_dlc20_chs_chaos	false	ui/flags/cr_chs_the_scourgeborn	wh_main_group_chaos	0	names_chs_chaos	names_chs_chaos	FACTION_ODA	wh_main_vo_culture_Chaos	wh_mp_force_gen_chaos	emp				false	WH_Chaos	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord		all	false	A3581B	AFB457	505050	A3581B	AFB457	505050	A3581B	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	A3581B	000000	000000	000000	000000	000000	000000	000000
cr_def_corsairs_of_spite	501794278	wh2_main_sc_def_dark_elves		names_def_dark_elves	wh2_main_def_dark_elves	wh2_main_def_dark_elves	false	ui/flags/rhox_cc_def_corsairs_of_spite	wh2_main_def	0	names_def_dark_elves	names_def_dark_elves	FACTION_ASHIKAGA	wh2_main_vo_culture_Dark_Elves	wh_mp_force_gen_dark_elves	def				false	WH_Dark_Elves	MIXED_NAVAL_HORDE	wh2_main_vo_actor_Dark_Elves_Dreadlord		all	false	1C7DB1	3CAD6F	BA6119	1C7DB1	3CAD6F	BA6119	1C7DB1	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_sigvald_burgundy	1C7DB1	000000	000000	000000	000000	000000	000000	000000
cr_dwf_firebeards_excavators	1939953175	wh_main_sc_dwf_dwarfs		names_dwf_dwarfs	wh_main_dwf_dwarfs	wh_main_dwf_dwarfs	false	ui/flags/rhox_cc_firebeards_excavators	wh_main_group_dwarfs	0	names_dwf_dwarfs	names_dwf_dwarfs	FACTION_ASHIKAGA	wh_main_vo_culture_Dwarf	wh_mp_force_gen_dwarfs	dwf				false	WH_Dwarfs	LOCKED_STANDARD	wh_main_vo_actor_Dwarf_Lord		all	false	FBE43B	306ECB	E3E3E3	FBE43B	E3E3E3	306ECB	FBE43B	false	Feedback_Alignment_Good_Faction	wh3_main_theme_caledor_sky	6590B1	000000	000000	000000	000000	000000	000000	000000
cr_hef_gate_guards	656204741	wh2_main_sc_hef_high_elves		names_hef_high_elves	wh2_main_hef_high_elves	scm_lccp_torinubar	false	ui/flags/rhox_cc_hef_gate_guards	wh2_main_hef	0	names_hef_high_elves	names_hef_high_elves	FACTION_ASHIKAGA	wh2_main_vo_culture_High_Elves	wh_mp_force_gen_high_elves	hef				false	WH_High_Elves	LOCKED_STANDARD	wh2_main_vo_actor_High_Elves_Mage	rhox_torinubar	all	false	E2E53A	D57527	6ABD74	E2E53A	D57527	6ABD74	E2E53A	false	Feedback_Alignment_Good_Faction	wh3_main_theme_caledor_sky	E2E53A	000000	000000	000000	000000	000000	000000	000000
cr_hef_tor_elithis	859899316	wh2_main_sc_hef_high_elves		names_hef_high_elves	wh2_main_hef_high_elves	wh2_main_hef_high_elves	false	ui/flags/cr_hef_tor_elithis	wh2_main_hef	0	names_hef_high_elves	names_hef_high_elves	FACTION_ASHIKAGA	wh2_main_vo_culture_High_Elves	wh_mp_force_gen_high_elves	hef				false	WH_High_Elves	LOCKED_STANDARD	wh2_main_vo_actor_High_Elves_Mage		all	false	D57527	77ADCF	CACACA	D57527	77ADCF	CACACA	D57527	false	Feedback_Alignment_Good_Faction	wh3_main_theme_caledor_sky	D57527	000000	000000	000000	000000	000000	000000	000000
cr_kho_servants_of_the_blood_nagas	1763841523	wh3_main_sc_kho_khorne		names_kho_khorne	wh3_main_kho_khorne	wh3_dae_main_kho_khorne	false	ui/flags/rhox_cc_kho_servants_of_the_blood_nagas	wh3_main_kho	0	names_kho_khorne	names_kho_khorne	FACTION_ODA	wh_main_vo_culture_Chaos	wh_mp_force_gen_khorne	kho				false	WH_Khorne	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord	hkrul_arbaal	all	false	D58704	0A0707	4A2813	D58704	0A0707	4A2813	D58704	true	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	2FAB1C	000000	000000	000000	000000	000000	000000	000000
cr_nor_tokmars	1115509244	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/cr_nor_tokmars	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	hkrul_lccp_surtha		all	false	61363C	80A299	4A4A4A	61363C	80A299	4A4A4A	61363C	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	000000	000000	000000	000000	000000	000000	000000	060606
cr_nur_tide_of_pestilence	791742201	wh3_main_sc_nur_nurgle		names_nur_nurgle	wh3_main_nur_nurgle	wh3_dae_main_nur_nurgle	false	ui/flags/cr_nur_tide_of_pestilence	wh3_main_nur	0	names_nur_nurgle	names_nur_nurgle	FACTION_ODA	wh3_main_vo_culture_Nurgle	wh_mp_force_gen_nurgle	nur				false	WH_Nurgle	LOCKED_STANDARD	wh3_main_vo_actor_Nurgle_Great_Unclean_One_Unit		all	false	AF2D2F	AF8E2C	578B36	AF2D2F	AF8E2C	578B36	AF2D2F	true	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow	000000	000000	000000	000000	000000	000000	000000	000000
