building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/rhox_valbrand			
rhox_valbrand_NORSCA_garrison		wh_main_set_norsca_defence	false
rhox_valbrand_NORSCA_walls		wh_main_set_norsca_defence	false
rhox_valbrand_NORSCA_loot		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_slaves		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_worship		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_beasts		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_chaos		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_creatures		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_military		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_stables		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_offerings		wh_main_set_norsca_military_support	false
rhox_valbrand_NORSCA_smith		wh_main_set_norsca_military_support	false
rhox_valbrand_NORSCA_settlement_major		wh_main_set_settlement_major	false
