building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/rhox_iee_lccp			
rhox_dolmance_slaanesh		wh3_main_set_slaanesh_military_recruitment	false
rhox_hrothyogg_mercenary_branch		rhox_hrothyogg_mercenary_branch	false
rhox_torinubar_sound_toll		wh2_main_set_landmark	false
rhox_torinubar_east_foreign		rhox_torinubar_trade	false
rhox_torinubar_west_foreign		rhox_torinubar_trade	false
rhox_valbrand_NORSCA_walls		wh_main_set_norsca_defence	false
rhox_valbrand_NORSCA_loot		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_slaves		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_worship		wh_main_set_norsca_economy	false
rhox_valbrand_NORSCA_beasts		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_chaos		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_creatures		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_military		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_stables		wh_main_set_norsca_military_recruitment	false
rhox_valbrand_NORSCA_offerings		wh_main_set_norsca_military_support	false
rhox_valbrand_NORSCA_smith		wh_main_set_norsca_military_support	false
rhox_valbrand_NORSCA_settlement_major		wh_main_set_settlement_major	false
rhox_dolmance_sunstory		wh2_main_set_landmark	false
rhox_dolmance_treasure_wine		wh2_main_set_landmark	false
rhox_thorgar_dae_advanced		wh3_main_set_dae_advanced_military	false
rhox_duriath_black_ark_special		wh2_main_set_landmark	false
rhox_duriath_tor_elithis		wh2_main_set_landmark	false
