granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/rhox_iee_lccp		
hkrul_duriath_horse	hkrul_duriath_horse	1
hkrul_duriath_pegasus	hkrul_duriath_pegasus	1
hkrul_duriath_dragon	hkrul_duriath_dragon	1
hkrul_karitamen_horse	hkrul_karitamen_horse	1
hkrul_karitamen_chariot	hkrul_karitamen_chariot	1
rhox_sceolan_the_bow_of_loren	rhox_sceolan_the_bow_of_loren	1
rhox_sceolan_the_buckler	rhox_sceolan_the_buckler	1
rhox_sceolan_dragon	rhox_sceolan_dragon	1
hef_calith_torinubar_eagle	hef_calith_torinubar_eagle	1
hef_calith_torinubar_dragon	hef_calith_torinubar_dragon	1
hkrul_hrothyogg_crusher	hkrul_hrothyogg_crusher	1
hkrul_slaurith_mount	hkrul_slaurith_mount	1
hkrul_zach_dragon	hkrul_zach_dragon	1
hkrul_zach_holz	hkrul_zach_holz	1
hkrul_karitamen_sword	hkrul_karitamen_sword	1
hkrul_karitamen_mask	hkrul_karitamen_mask	1
hkrul_burlok_arm	hkrul_burlok_arm	1
hkrul_burlok_armour	hkrul_burlok_armour	1
hkrul_burlok_hammer	hkrul_burlok_hammer	1
