faction_key	faction_group_key
#faction_to_faction_groups_junctions_tables;0;db/faction_to_faction_groups_junctions_tables/rhox_iee_lccp	
rhox_brt_reveller_of_domance	wh_main_fact_group_bretonnia
rhox_def_key_keepers	wh2_main_fact_group_dark_elves
rhox_kho_destroyers_of_khorne	wh3_main_fact_group_khorne
rhox_nor_firebrand_slavers	wh_main_fact_group_norsca
rhox_vmp_the_everliving	wh_main_fact_group_vampire_counts
rhox_wef_far_away_forest	wh_dlc05_fact_group_wood_elves
rhox_nor_ravenblessed	wh_main_fact_group_norsca
rhox_nor_khazags	wh_main_fact_group_norsca
rhox_chs_the_deathswords	wh_main_fact_group_chaos
