pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_volrik				
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t1	-50	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t1	50	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t1_sacrifice_requirements	-50	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t1_sacrifice_requirements	-100	absolute	default
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t2	-75	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t2	75	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t2_sacrifice_requirement	-75	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t2_sacrifice_requirement	-250	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t3	-150	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t3	150	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t3_sacrifice_requirement	-150	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t3_sacrifice_requirement	-500	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t3_sacrifice_requirement_high	-150	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t3_sacrifice_requirement_high	-750	absolute	default
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t4	-200	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t4	200	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t4_sacrifice_requirement	-200	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t4_sacrifice_requirement	-1500	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t5	-250	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t5	250	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t5_sacrifice_requirement	-250	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t5_sacrifice_requirement	-2500	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_t5_sacrifice_requirement_low	-250	absolute	default
rhox_volrik_book_spent_tze_sacrifices	rhox_volrik_initiative_book_tze_t5_sacrifice_requirement_low	-2000	absolute	default
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_upkeep_t1	-5	absolute	default
rhox_volrik_book_spent_tze_sacrifices_upkeep	rhox_volrik_initiative_book_tze_upkeep_t1	5	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_upkeep_t2	-10	absolute	default
rhox_volrik_book_spent_tze_sacrifices_upkeep	rhox_volrik_initiative_book_tze_upkeep_t2	10	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_upkeep_t3	-15	absolute	default
rhox_volrik_book_spent_tze_sacrifices_upkeep	rhox_volrik_initiative_book_tze_upkeep_t3	15	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_upkeep_t4	-20	absolute	default
rhox_volrik_book_spent_tze_sacrifices_upkeep	rhox_volrik_initiative_book_tze_upkeep_t4	20	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_tze_upkeep_t5	-35	absolute	default
rhox_volrik_book_spent_tze_sacrifices_upkeep	rhox_volrik_initiative_book_tze_upkeep_t5	35	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t1	-50	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t1	50	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t2	-75	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t2	75	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t2_sacrifice_requirement	-75	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t2_sacrifice_requirement	-250	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t3	-150	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t3	150	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t3_sacrifice_requirement	-150	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t3_sacrifice_requirement	-500	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t3_sacrifice_requirement_high	-150	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t3_sacrifice_requirement_high	-750	absolute	default
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t4	-200	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t4	200	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_t4_sacrifice_requirement	-200	absolute	default
rhox_volrik_book_spent_und_sacrifices	rhox_volrik_initiative_book_und_t4_sacrifice_requirement	-1500	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_upkeep_t1	-5	absolute	default
rhox_volrik_book_spent_und_sacrifices_upkeep	rhox_volrik_initiative_book_und_upkeep_t1	5	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_upkeep_t2	-10	absolute	default
rhox_volrik_book_spent_und_sacrifices_upkeep	rhox_volrik_initiative_book_und_upkeep_t2	10	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_upkeep_t3	-15	absolute	default
rhox_volrik_book_spent_und_sacrifices_upkeep	rhox_volrik_initiative_book_und_upkeep_t3	15	absolute	secondary
wh3_main_tze_grimoires_factor_changing_of_the_ways	rhox_volrik_initiative_book_und_upkeep_t4	-20	absolute	default
rhox_volrik_book_spent_und_sacrifices_upkeep	rhox_volrik_initiative_book_und_upkeep_t4	20	absolute	secondary
