pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_valbrand				
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t1_sacrifice_requirements	-500	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t1_sacrifice_requirements	-400	absolute	default
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t1	-200	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t1	200	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t2_sacrifice_requirement	-300	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t2_sacrifice_requirement	-1000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t2	-300	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t2	300	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement_high	-600	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement_high	-3000	absolute	default
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement	-600	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement	-2000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t3	-600	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t3	600	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t4_sacrifice_requirement	-800	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t4_sacrifice_requirement	-6000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t4	-800	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t4	800	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement_low	-1000	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement_low	-8000	absolute	default
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement	-1000	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement	-10000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_t5	-1000	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices	rhox_valbrand_initiative_slaves_kho_t5	1000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_upkeep_t1	-20	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	rhox_valbrand_initiative_slaves_kho_upkeep_t1	20	absolute	secondary
