pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_burlok				
rhox_burlok_artifact_part_1a_forging	rhox_burlok_ritual_burlok_artifact_1	-1	absolute	default
rhox_burlok_artifact_part_1b_forging	rhox_burlok_ritual_burlok_artifact_1	-1	absolute	default
rhox_burlok_artifact_part_2a_forging	rhox_burlok_ritual_burlok_artifact_2	-1	absolute	default
rhox_burlok_artifact_part_2b_forging	rhox_burlok_ritual_burlok_artifact_2	-1	absolute	default
rhox_burlok_artifact_part_3a_forging	rhox_burlok_ritual_burlok_artifact_3	-1	absolute	default
rhox_burlok_artifact_part_3b_forging	rhox_burlok_ritual_burlok_artifact_3	-1	absolute	default
rhox_burlok_artifact_part_4a_forging	rhox_burlok_ritual_burlok_artifact_4	-1	absolute	default
rhox_burlok_artifact_part_4b_forging	rhox_burlok_ritual_burlok_artifact_4	-1	absolute	default
rhox_burlok_artifact_part_5a_forging	rhox_burlok_ritual_burlok_artifact_5	-1	absolute	default
rhox_burlok_artifact_part_5b_forging	rhox_burlok_ritual_burlok_artifact_5	-1	absolute	default
rhox_burlok_artifact_part_6a_forging	rhox_burlok_ritual_burlok_artifact_6	-1	absolute	default
rhox_burlok_artifact_part_6b_forging	rhox_burlok_ritual_burlok_artifact_6	-1	absolute	default
rhox_burlok_artifact_part_7a_forging	rhox_burlok_ritual_burlok_artifact_7	-1	absolute	default
rhox_burlok_artifact_part_7b_forging	rhox_burlok_ritual_burlok_artifact_7	-1	absolute	default
rhox_burlok_artifact_part_8a_forging	rhox_burlok_ritual_burlok_artifact_8	-1	absolute	default
rhox_burlok_artifact_part_8b_forging	rhox_burlok_ritual_burlok_artifact_8	-1	absolute	default
