key	image	max_displays	weighting	first_shown_weighting	category
#loading_screen_quotes_tables;5;db/loading_screen_quotes_tables/hkrul_valbrand					
hkrul_valbrand	ui/portraits/portholes/no_culture/hkrul_valbrand.png	-1	1	1	generic
hkrul_sceolan	ui/portraits/portholes/wh_dlc05_wef_wood_elves/hkrul_sceolan.png	-1	1	1	generic
hkrul_volrik	ui/portraits/portholes/no_culture/hkrul_volrik.png	-1	1	1	generic
hkrul_zach	ui/portraits/portholes/wh_main_vmp_vampire_counts/hkrul_zach.png	-1	1	1	generic
hkrul_torinubar	ui/portraits/portholes/no_culture/hef_calith_torinubar.png	-1	1	1	generic
hkrul_orghotts	ui/portraits/portholes/no_culture/hkrul_orghotts.png	-1	1	1	generic
hkrul_hrothyogg	ui/portraits/portholes/no_culture/hkrul_hrothyogg.png	-1	1	1	generic
hkrul_burlok	ui/portraits/portholes/no_culture/hkrul_burlok.png	-1	1	1	generic
hkrul_dolmance	ui/portraits/portholes/no_culture/hkrul_dolmance.png	-1	1	1	generic
hkrul_thorgar	ui/portraits/portholes/no_culture/hkrul_thorgar.png	-1	1	1	generic
hkrul_arbaal	ui/portraits/portholes/no_culture/hkrul_arbaal.png	-1	1	1	generic
hkrul_engra	ui/portraits/portholes/no_culture/hkrul_engra.png	-1	1	1	generic
hkrul_vroth	ui/portraits/portholes/no_culture/hkrul_vroth.png	-1	1	1	generic
hkrul_karitamen	ui/portraits/portholes/no_culture/hkrul_karitamen.png	-1	1	1	generic
hkrul_duriath	ui/portraits/portholes/no_culture/hkrul_duriath.png	-1	1	1	generic
hkrul_aelfric	ui/portraits/portholes/no_culture/hkrul_aelfric.png	-1	1	1	generic
