attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/rhox_iee_lccp	
non_vampire_territory	rhox_nor_firebrand_slavers
chaos_territory	rhox_nor_firebrand_slavers
chaos_wastes	rhox_nor_firebrand_slavers
regionless	rhox_nor_firebrand_slavers
vampire_territory	rhox_vmp_the_everliving
non_vampire_territory	rhox_brt_reveller_of_domance
non_vampire_territory	rhox_def_key_keepers
non_vampire_territory	rhox_kho_destroyers_of_khorne
non_vampire_territory	rhox_wef_far_away_forest
