attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/hkrul_lccp		
causes_fear	hkrul_valbrand_pal	positive
immune_to_psychology	hkrul_volrik_blessed	positive
devastating_flanker	hkrul_spew_riders	positive
stalk	hkrul_thulgrim_time	positive
strider	hkrul_thulgrim_time	positive
executor	hkrul_arbaal_ruiner_hidden	positive
immune_to_psychology	rhox_dolmance_harmony_in_excess	positive
rampage	rhox_slaurith_bloodrage	positive
charge_defense	hkrul_aelfric_mark	positive
cant_run	hkrul_aelfric_howl	positive
