id	rank	unit	unit_list_display
#unit_list_display_to_unit_junctions_tables;0;db/unit_list_display_to_unit_junctions_tables/rhox_lccp_torinubar			
182913768	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_basic
182913769	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_basic
182913770	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_basic
182913771	0	wh2_main_hef_art_eagle_claw_bolt_thrower	rhox_torinubar_basic
182913773	0	wh2_main_hef_inf_archers_1	rhox_torinubar_basic
182913774	0	wh2_main_hef_inf_archers_1	rhox_torinubar_basic
182913775	0	wh2_main_hef_inf_archers_1	rhox_torinubar_basic
182913776	0	wh2_main_hef_cav_silver_helms_1	rhox_torinubar_basic
182913777	0	wh2_main_hef_cav_silver_helms_1	rhox_torinubar_elite
182913778	0	wh2_main_hef_inf_phoenix_guard	rhox_torinubar_elite
182913779	0	wh2_main_hef_inf_archers_1	rhox_torinubar_elite
182913780	0	wh2_main_hef_inf_archers_1	rhox_torinubar_elite
182913781	0	wh2_main_hef_inf_swordmasters_of_hoeth_0	rhox_torinubar_elite
182913782	0	wh2_main_hef_inf_white_lions_of_chrace_0	rhox_torinubar_elite
182913783	0	wh2_main_hef_inf_white_lions_of_chrace_0	rhox_torinubar_elite
182913784	0	wh2_main_hef_cav_silver_helms_1	rhox_torinubar_elite
182913785	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_ranged
182913786	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_ranged
182913787	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_ranged
182913788	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_ranged
182913789	0	wh2_main_hef_inf_archers_1	rhox_torinubar_ranged
182913790	0	wh2_main_hef_inf_archers_1	rhox_torinubar_ranged
182913791	0	wh2_main_hef_cav_silver_helms_1	rhox_torinubar_ranged
182913792	0	wh2_main_hef_cav_silver_helms_1	rhox_torinubar_ranged
182913793	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_infantry
182913794	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_infantry
182913795	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_infantry
182913796	0	wh2_main_hef_inf_lothern_sea_guard_1	rhox_torinubar_infantry
182913797	0	wh2_dlc15_hef_inf_silverin_guard_0	rhox_torinubar_infantry
182913798	0	wh2_dlc10_hef_inf_sisters_of_avelorn_0	rhox_torinubar_infantry
182913799	0	wh2_dlc10_hef_inf_shadow_warriors_0	rhox_torinubar_infantry
182913800	0	wh2_main_hef_inf_archers_1	rhox_torinubar_infantry
182913801	0	wh2_main_hef_inf_archers_1	rhox_torinubar_infantry
182913802	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_dragon_willed
182913803	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_dragon_willed
182913804	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_dragon_willed
182913805	0	wh2_main_hef_inf_spearmen_0	rhox_torinubar_dragon_willed
182913806	0	wh2_main_hef_inf_archers_1	rhox_torinubar_dragon_willed
182913807	0	wh2_main_hef_inf_archers_1	rhox_torinubar_dragon_willed
182913808	0	wh2_main_hef_inf_archers_1	rhox_torinubar_dragon_willed
182913809	0	wh2_main_hef_inf_archers_1	rhox_torinubar_dragon_willed
182913810	0	wh2_main_hef_mon_sun_dragon	rhox_torinubar_dragon_willed
