invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/rhox_iee_lccp	
on_a_platform	rhox_arbaal_spawn_spawn
phase_is_deployment	rhox_arbaal_spawn_spawn
phase_is_the_end_phase	rhox_arbaal_spawn_spawn
climbing	wh_dlc03_spell_bound_the_amber_spear
manning_equipment	wh_dlc03_spell_bound_the_amber_spear
climbing	rhox_sceolan_bound_blizzard
manning_equipment	rhox_sceolan_bound_blizzard
climbing	hkrul_engra_lightning
climbing	hkrul_arbaal_smite
