character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/rhox_lccp_torinubar		
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_1	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_2	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_3	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_4	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_5	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_6	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_hukon	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_7	1
wh2_main_skill_hef_dedication_addaioth	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_asuryan	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_hoeth	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_isha	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_kurnous	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_mathlann	rhox_torinubar_convoy_dedication_8	1
wh2_main_skill_hef_dedication_vaul	rhox_torinubar_convoy_dedication_8	1
