character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/rhox_karitamen		
rhox_kita_god_blessing	wh2_dlc09_skill_tmb_tomb_king_god_blessing_0	1
rhox_kita_god_blessing	wh2_dlc09_skill_tmb_tomb_king_god_blessing_1	1
rhox_kita_god_blessing	wh2_dlc09_skill_tmb_tomb_king_god_blessing_2	1
rhox_kita_god_blessing	wh2_dlc09_skill_tmb_tomb_king_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_0	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
wh2_dlc09_skill_tmb_god_blessing_1	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
wh2_dlc09_skill_tmb_god_blessing_2	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
wh2_dlc09_skill_tmb_god_blessing_3	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_4	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_5	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_6	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_7	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_8	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_9	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
skill_tmb_god_blessing_10	rhox_lccp_tk_generic_lord_rhox_kita_god_blessing	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_4	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_5	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_6	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_7	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_8	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_9	1
rhox_kita_god_blessing	skill_tmb_tomb_king_god_blessing_10	1
