faction	vehicle
#battle_siege_vehicle_permissions_tables;0;db/battle_siege_vehicle_permissions_tables/rhox_iee_lccp	
rhox_brt_reveller_of_domance	brt_battering_ram
rhox_brt_reveller_of_domance	brt_siege_tower_15m
rhox_def_key_keepers	def_battering_ram
rhox_def_key_keepers	def_siege_tower_15m
rhox_kho_destroyers_of_khorne	kho_battering_ram
rhox_kho_destroyers_of_khorne	kho_siege_tower_15m
rhox_nor_firebrand_slavers	nor_battering_ram
rhox_nor_firebrand_slavers	nor_siege_tower_15m
rhox_vmp_the_everliving	vmp_battering_ram
rhox_vmp_the_everliving	vmp_siege_tower_15m
rhox_wef_far_away_forest	wef_battering_ram
rhox_wef_far_away_forest	wef_siege_tower_15m
rhox_nor_ravenblessed	nor_battering_ram
rhox_nor_ravenblessed	nor_siege_tower_15m
rhox_nor_khazags	nor_battering_ram
rhox_nor_khazags	nor_siege_tower_15m
rhox_chs_the_deathswords	chs_battering_ram
rhox_chs_the_deathswords	chs_siege_tower_15m
rhox_rogue_spirits_of_stromfel	cst_battering_ram
rhox_rogue_spirits_of_stromfel	cst_siege_tower_15m
